partition,sum_product_mistake_indices
1|1|1|1|1|1|1|1|1|1|1|1|1,479001600
1|1|1|1|1|1|1|1|1|1|1|2,5748019200
1|1|1|1|1|1|1|1|1|1|3,4261576320
1|1|1|1|1|1|1|1|1|2|2,23090952960
1|1|1|1|1|1|1|1|1|4,2330016768
1|1|1|1|1|1|1|1|2|3,26305645824
1|1|1|1|1|1|1|1|5,916001880
1|1|1|1|1|1|1|2|2|2,38788959744
1|1|1|1|1|1|1|2|4,10894130232
1|1|1|1|1|1|1|3|3,6122746776
1|1|1|1|1|1|1|6,258795044
1|1|1|1|1|1|2|2|3,48884949192
1|1|1|1|1|1|2|5,3187294336
1|1|1|1|1|1|3|4,4104130060
1|1|1|1|1|1|7,52724894
1|1|1|1|1|2|2|2|2,27496080000
1|1|1|1|1|2|2|4,14473806388
1|1|1|1|1|2|3|3,16371138128
1|1|1|1|1|2|6,651617640
1|1|1|1|1|3|5,964244654
1|1|1|1|1|4|4,545186594
1|1|1|1|1|8,7734663
1|1|1|1|2|2|2|3,31522636172
1|1|1|1|2|2|5,2906876974
1|1|1|1|2|3|4,7537012846
1|1|1|1|2|7,92044137
1|1|1|1|3|3|3,1437776516
1|1|1|1|3|6,155729737
1|1|1|1|4|5,199227513
1|1|1|1|9,808029
1|1|1|2|2|2|2|2,7196573952
1|1|1|2|2|2|4,5963131742
1|1|1|2|2|3|3,10173812186
1|1|1|2|2|6,383398723
1|1|1|2|3|5,1141202567
1|1|1|2|4|4,646475793
1|1|1|2|8,8776242
1|1|1|3|3|4,750171143
1|1|1|3|7,16835998
1|1|1|4|6,24273104
1|1|1|5|5,13651408
1|1|1|10,58566
1|1|2|2|2|2|3,5943706882
1|1|2|2|2|5,693102734
1|1|2|2|3|4,2712480532
1|1|2|2|7,31609489
1|1|2|3|3|3,1039515040
1|1|2|3|6,107444303
1|1|2|4|5,137750835
1|1|2|9,538080
1|1|3|3|5,80974860
1|1|3|4|4,92153103
1|1|3|8,1159786
1|1|4|7,1872827
1|1|5|6,2356321
1|1|11,2796
1|2|2|2|2|2|2,458110528
1|2|2|2|2|4,541141277
1|2|2|2|3|3,1237208330
1|2|2|2|6,44345247
1|2|2|3|5,199061695
1|2|2|4|4,112968556
1|2|2|8,1471642
1|2|3|3|4,263076365
1|2|3|7,5666079
1|2|4|6,8184139
1|2|5|5,4605636
1|2|10,19122
1|3|3|3|3,25428265
1|3|3|6,4866261
1|3|4|5,12546408
1|3|9,45904
1|4|4|4,2394161
1|4|8,82445
1|5|7,115324
1|6|6,64317
1|12,79
2|2|2|2|2|3,146024515
2|2|2|2|5,20285265
2|2|2|3|4,106460900
2|2|2|7,1187758
2|2|3|3|3,61450480
2|2|3|6,6082167
2|2|4|5,7813806
2|2|9,29458
2|3|3|5,9210565
2|3|4|4,10498215
2|3|8,127335
2|4|7,205920
2|5|6,259259
2|11,299
3|3|3|4,4102735
3|3|7,123630
3|4|6,358995
3|5|5,202384
3|10,793
4|4|5,233233
4|9,1573
5|8,2431
6|7,3003
13,1
