partition,sum_product_mistake_indices
1|1|1|1|1|1|1|1|1|1|1|1|1|1,6227020800
1|1|1|1|1|1|1|1|1|1|1|1|2,80951270400
1|1|1|1|1|1|1|1|1|1|1|3,61148511360
1|1|1|1|1|1|1|1|1|1|2|2,363410599680
1|1|1|1|1|1|1|1|1|1|4,34551794304
1|1|1|1|1|1|1|1|1|2|3,430771064832
1|1|1|1|1|1|1|1|1|5,14238041208
1|1|1|1|1|1|1|1|2|2|2,712075053312
1|1|1|1|1|1|1|1|2|4,188899489752
1|1|1|1|1|1|1|1|3|3,105901353912
1|1|1|1|1|1|1|1|6,4280337452
1|1|1|1|1|1|1|2|2|3,962316385320
1|1|1|1|1|1|1|2|5,59656971640
1|1|1|1|1|1|1|3|4,76493314564
1|1|1|1|1|1|1|7,944218666
1|1|1|1|1|1|2|2|2|2,628971758208
1|1|1|1|1|1|2|2|4,313303343860
1|1|1|1|1|1|2|3|3,353453921480
1|1|1|1|1|1|2|6,13469888964
1|1|1|1|1|1|3|5,19826604898
1|1|1|1|1|1|4|4,11191555782
1|1|1|1|1|1|8,153275513
1|1|1|1|1|2|2|2|3,813088285388
1|1|1|1|1|2|2|5,71386973066
1|1|1|1|1|2|3|4,184295836390
1|1|1|1|1|2|7,2164540785
1|1|1|1|1|3|3|3,35062232836
1|1|1|1|1|3|6,3640348875
1|1|1|1|1|4|5,4644575511
1|1|1|1|1|9,18239040
1|1|1|1|2|2|2|2|2,231035861376
1|1|1|1|2|2|2|4,181412380758
1|1|1|1|2|2|3|3,308683157574
1|1|1|1|2|2|6,11149148573
1|1|1|1|2|3|5,33007623435
1|1|1|1|2|4|4,18667131125
1|1|1|1|2|8,244808598
1|1|1|1|3|3|4,21602567253
1|1|1|1|3|7,466641848
1|1|1|1|4|6,670507602
1|1|1|1|5|5,376695817
1|1|1|1|10,1569387
1|1|1|2|2|2|2|3,239341603914
1|1|1|2|2|2|5,26600975180
1|1|1|2|2|3|4,103647317898
1|1|1|2|2|7,1162498628
1|1|1|2|3|3|3,39612425956
1|1|1|2|3|6,3927694900
1|1|1|2|4|5,5021825060
1|1|1|2|9,19003398
1|1|1|3|3|5,2944046890
1|1|1|3|4|4,3344808418
1|1|1|3|8,40689458
1|1|1|4|7,65455853
1|1|1|5|6,82208093
1|1|1|11,94914
1|1|2|2|2|2|2|2,27545158720
1|1|2|2|2|2|4,30867938709
1|1|2|2|2|3|3,70379972376
1|1|2|2|2|6,2419787114
1|1|2|2|3|5,10803198470
1|1|2|2|4|4,6120499139
1|1|2|2|8,77069561
1|1|2|3|3|4,14214012358
1|1|2|3|7,294830302
1|1|2|4|6,424408257
1|1|2|5|5,238578327
1|1|2|10,962364
1|1|3|3|3|3,1370082485
1|1|3|3|6,251680556
1|1|3|4|5,647110065
1|1|3|9,2294618
1|1|4|4|4,123277196
1|1|4|8,4104398
1|1|5|7,5728360
1|1|6|6,3192442
1|1|12,3823
1|2|2|2|2|2|3,16534395627
1|2|2|2|2|5,2191055190
1|2|2|2|3|4,11447934532
1|2|2|2|7,123005079
1|2|2|3|3|3,6589511310
1|2|2|3|6,626054213
1|2|2|4|5,802079955
1|2|2|9,2930756
1|2|3|3|5,942886820
1|2|3|4|4,1072872843
1|2|3|8,12584290
1|2|4|7,20272832
1|2|5|6,25478420
1|2|11,28601
1|3|3|3|4,418124980
1|3|3|7,12139530
1|3|4|6,35130004
1|3|5|5,19783036
1|3|10,75335
1|4|4|5,22760920
1|4|9,148798
1|5|8,229372
1|6|7,282997
1|13,92
2|2|2|2|2|2|2,458110528
2|2|2|2|2|4,687165792
2|2|2|2|3|3,1967330905
2|2|2|2|6,64630512
2|2|2|3|5,386663655
2|2|2|4|4,219429456
2|2|2|8,2659400
2|2|3|3|4,766810505
2|2|3|7,15311520
2|2|4|6,22080112
2|2|5|5,12419442
2|2|10,48580
2|3|3|3|3,148329225
2|3|3|6,26241160
2|3|4|5,67591580
2|3|9,232155
2|4|4|4,12892376
2|4|8,415700
2|5|7,580503
2|6|6,323576
2|12,378
3|3|3|5,13313300
3|3|4|4,22806420
3|3|8,250965
3|4|7,812175
3|5|6,1023022
3|11,1092
4|4|6,592228
4|5|5,668850
4|10,2366
5|9,4004
6|8,5434
7|7,3003
14,1
