partition,sum_product_mistake_indices
1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,20922789888000
1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2,334764638208000
1|1|1|1|1|1|1|1|1|1|1|1|1|1|3,264030355814400
1|1|1|1|1|1|1|1|1|1|1|1|1|2|2,1982674074931200
1|1|1|1|1|1|1|1|1|1|1|1|1|4,161038110977280
1|1|1|1|1|1|1|1|1|1|1|1|2|3,2569158204560640
1|1|1|1|1|1|1|1|1|1|1|1|5,73960362101376
1|1|1|1|1|1|1|1|1|1|1|2|2|2,5612217262295040
1|1|1|1|1|1|1|1|1|1|1|2|4,1279931459589504
1|1|1|1|1|1|1|1|1|1|1|3|3,712914038828928
1|1|1|1|1|1|1|1|1|1|1|6,25594352867952
1|1|1|1|1|1|1|1|1|1|2|2|3,8813409350004864
1|1|1|1|1|1|1|1|1|1|2|5,478014699329280
1|1|1|1|1|1|1|1|1|1|3|4,606147942508560
1|1|1|1|1|1|1|1|1|1|7,6732785809072
1|1|1|1|1|1|1|1|1|2|2|2|2,8146365292864512
1|1|1|1|1|1|1|1|1|2|2|4,3505485438925488
1|1|1|1|1|1|1|1|1|2|3|3,3928017575367936
1|1|1|1|1|1|1|1|1|2|6,133416593747888
1|1|1|1|1|1|1|1|1|3|5,193640138643136
1|1|1|1|1|1|1|1|1|4|4,108829551472112
1|1|1|1|1|1|1|1|1|8,1358262331112
1|1|1|1|1|1|1|1|2|2|2|3,13401187088221008
1|1|1|1|1|1|1|1|2|2|5,1033079317051152
1|1|1|1|1|1|1|1|2|3|4,2636936116602064
1|1|1|1|1|1|1|1|2|7,27938250488472
1|1|1|1|1|1|1|1|3|3|3,498155895518704
1|1|1|1|1|1|1|1|3|6,46248510182712
1|1|1|1|1|1|1|1|4|5,58585432255640
1|1|1|1|1|1|1|1|9,211361047584
1|1|1|1|1|1|1|2|2|2|2|2,6025938681157632
1|1|1|1|1|1|1|2|2|2|4,4103085008329152
1|1|1|1|1|1|1|2|2|3|3,6932959390371520
