partition,sum_product_mistake_indices
1|1|1|1|1|1|1|1|1|1,362880
1|1|1|1|1|1|1|1|2,3265920
1|1|1|1|1|1|1|3,2239344
1|1|1|1|1|1|2|2,8584992
1|1|1|1|1|1|4,1066644
1|1|1|1|1|2|3,8208900
1|1|1|1|1|5,342964
1|1|1|1|2|2|2,7664256
1|1|1|1|2|4,2627260
1|1|1|1|3|3,1489736
1|1|1|1|6,73639
1|1|1|2|2|3,6900116
1|1|1|2|5,536596
1|1|1|3|4,701317
1|1|1|7,10366
1|1|2|2|2|2,1969008
1|1|2|2|4,1256931
1|1|2|3|3,1434876
1|1|2|6,66504
1|1|3|5,100261
1|1|4|4,57016
1|1|8,916
1|2|2|2|3,1122949
1|2|2|5,122952
1|2|3|4,323677
1|2|7,4534
1|3|3|3,62335
1|3|6,7833
1|4|5,10116
1|9,46
2|2|2|2|2,65104
2|2|2|4,65104
2|2|3|3,112135
2|2|6,4904
2|3|5,14875
2|4|4,8476
2|8,130
3|3|4,9930
3|7,255
4|6,372
5|5,210
10,1
