q,p_stable,p_unstable
0.0,1.0,0.0
0.306985406909396,1.0,0.0
0.3188620410031771,1.0,0.03583989493374134
0.3307386750969582,1.0,0.0690978618184696
0.34261530919073935,1.0,0.10004353844639023
0.35449194328452044,1.0,0.12891049803414406
0.36636857737830153,1.0,0.15590209870183344
0.3782452114720826,1.0,0.18119623134065174
0.3901218455658637,1.0,0.20494920058565724
0.4019984796596448,1.0,0.22729891833023805
0.4138751137534259,1.0,0.24836754782442869
0.42575174784720704,1.0,0.26826370577219366
0.4376283819409881,1.0,0.28708430642441696
0.4495050160347692,1.0,0.3049161139570539
0.4613816501285503,1.0,0.32183705579709937
0.4732582842223314,1.0,0.337917338958662
0.48513491831611255,1.0,0.35322040328004745
0.4970115524098936,1.0,0.36780373892764495
0.5088881865036747,1.0,0.3817195905126979
0.5207648205974558,1.0,0.3950155660656921
0.5326414546912369,1.0,0.40773516589880576
0.5445180887850181,1.0,0.4199182437909157
0.5563947228787991,1.0,0.43160141088419207
0.5682713569725801,1.0,0.4428183909176364
0.5801479910663614,1.0,0.4536003341679848
0.5920246251601424,1.0,0.46397609624738895
0.5993322596494863,0.9926744362920089,0.47017009611975386
0.6066398941388303,0.9855264102612756,0.4762264011779205
0.6139475286281743,0.9785483022906318,0.48215066369656756
0.6212551631175183,0.9717328376441643,0.48794831044933323
0.6285627976068622,0.9650730615612937,0.4936245589524464
0.6358704320962061,0.958562315897049,0.4991844328865218
0.6431780665855501,0.9521942171061818,0.5046327768634974
0.650485701074894,0.9459626354352921,0.5099742705648015
0.657793335564238,0.939861675135696,0.5152134424125112
0.6651009700535819,0.9338856555714972,0.5203546828361136
0.6724086045429258,0.9280290930602878,0.5254022572548874
0.6797162390322699,0.922286683292132,0.5303603188828715
0.6870238735216138,0.9166532842218763,0.5352329214346941
0.6943315080109578,0.9111238992145855,0.5400240319122764
0.7016391425003017,0.9056936603535585,0.5447375435454723
0.7089467769896456,0.9003578116927784,0.5493772890457841
0.7162544114789896,0.8951116922747578,0.5539470543714442
0.7235620459683335,0.8899507187306197,0.5584505931577901
0.7308696804576775,0.8848703671660744,0.5628916420190482
0.7381773149470214,0.8798661541192596,0.5672739370502528
0.7454849494363653,0.8749336162056184,0.5716012317693373
0.7527925839257092,0.8700682880834876,0.5758773169350931
0.7601002184150533,0.8652656782485608,0.5801060426662666
0.7674078529043973,0.8605212420645278,0.5842913434801276
0.7747154873937412,0.8558303512869818,0.5884372669758087
0.7820231218830851,0.8511882591524526,0.5925480070494783
0.789330756372429,0.8465900598101546,0.5966279428988798
0.796638390861773,0.842030640577681,0.6006816852939407
0.8039460253511169,0.8375046249524144,0.6047141321928096
0.8112536598404609,0.8330063037053825,0.608730536364516
0.8185612943298048,0.8285295503614908,0.6127365886995396
0.8258689288191488,0.824067716141472,0.6167385221366934
0.8331765633084928,0.8196134973706025,0.6207432432062683
0.8404841977978367,0.8151587655295565,0.6247585009731819
0.8477918322871807,0.8106943457702227,0.6287931075939661
0.8550994667765246,0.806209722841656,0.6328572315135146
0.8624071012658685,0.8016926426473923,0.6369627950870353
0.8697147357552125,0.7971285597203652,0.6411240263182086
0.8770223702445564,0.7924998505984433,0.6453582447706998
0.8843300047339004,0.7877846588444244,0.6496870158469104
0.8916376392232443,0.7829551363001964,0.6541379088961748
0.8989452737125883,0.7779746442353334,0.658747295442328
0.9062529082019323,0.772793049407388,0.6635650525678913
0.9135605426912762,0.7673382479640256,0.668663038447063
0.9208681771806202,0.7614994130222271,0.6741518442745893
0.9281758116699641,0.7550892965781751,0.6802184918527019
0.935483446159308,0.7477407219043485,0.6872299407470797
0.942791080648652,0.7384984753332283,0.6961411960656063
0.9500987151379959,0.7174417486846466,0.7168728656290466
