suffix,n,tau,W,X,Y,Z,q_0,q_1,q_hat,p_at_q_hat
_0,10,5,2,-1,3,0,0.41803868411916484,0.35352601712869625,0.7593158034418616,0.4404385422158642
_1,8,4,2,-1,3,0,0.47462186472441426,0.3852766863180834,0.8650640140844932,0.42560827587196526
_2,6,3,2,-1,3,0,0.568592393117279,0.43185245339949635,1,0.4
_3,4,2,2,-1,3,0,0.7553071532806915,0.5088132428331257,1,0.3333333333333333
