suffix,n,tau,W,X,Y,Z,q_0,q_1,q_hat,p_at_q_hat
_0,8,7,2,-1,3,0,0.23044953030233675,0.7821663399285312,1,0.8571428571428571
_1,8,6,2,-1,3,0,0.306985406909396,0.5920246251601424,0.9500987151379959,0.7171573071562382
_2,8,5,2,-1,3,0,0.3852766863180834,0.47462186472441426,0.8650640140844932,0.5743917241280343
_3,8,4,2,-1,3,0,0.47462186472441426,0.3852766863180834,0.8650640140844932,0.42560827587196526
_4,8,3,2,-1,3,0,0.5920246251601424,0.306985406909396,0.9500987151379959,0.2828426928437617
_5,8,2,2,-1,3,0,0.7821663399285312,0.23044953030233675,1,0.14285714285714285
