nV,q0V,q1V,qhV
4,0.7553071532806915,0.5088132428331257,1.0
6,0.568592393117279,0.43185245339949635,1.0
8,0.47462186472441426,0.3852766863180834,0.8650640140844932
10,0.41803868411916484,0.35352601712869625,0.7593158034418616
12,0.37985468586418225,0.3302080287351057,0.6879591082924998
14,0.3521005595111633,0.3121905809531254,0.6359520111608746
16,0.3308590032936346,0.29774704947870406,0.5959995886584859
18,0.31397625988515643,0.28584176509128234,0.5641169961794725
