suffix,n,tau,W,X,Y,Z,q_0,q_1,q_hat,p_at_q_hat
_7,8,4,2.0,-0.5,3,0,0.583385773692842,0.3852766863180834,1,0.38461538461538464
_6,8,5,2.5,-1.0,3,0,0.41823461396629225,0.6147795214407399,1,0.6086956521739131
_5,8,5,2.0,-1.0,3,0,0.3852766863180834,0.47462186472441426,0.8650640140844932,0.5743917241280343
