n=2,n=4,n=8,n=16,n=32,n=64,n=128,n=256,n=512,n=1024,n=2048,n=4096,n=8192,n=16384,n=32768,n=65536,n=131072,n=262144,n=524288
0.5,0.75,0.875,0.5625,0.53125,0.390625,0.3046875,0.26171875,0.248046875,0.212890625,0.18505859375,0.163330078125,0.1397705078125,0.1197509765625,0.101593017578125,0.0874786376953125,0.07729339599609375,0.06821823120117188,0.059169769287109375
1.0,1.0,0.875,0.9375,0.71875,0.640625,0.5390625,0.515625,0.45703125,0.404296875,0.3447265625,0.290283203125,0.2596435546875,0.2276611328125,0.1986083984375,0.172576904296875,0.15184783935546875,0.13262557983398438,0.11562728881835938
1.0,1.0,0.875,0.875,0.875,0.765625,0.7265625,0.6796875,0.578125,0.5166015625,0.46044921875,0.406982421875,0.350341796875,0.3082275390625,0.26373291015625,0.2290802001953125,0.19902801513671875,0.17198562622070312,0.14954376220703125
1.0,1.0,0.75,0.625,0.5625,0.4375,0.421875,0.40625,0.35546875,0.31640625,0.27880859375,0.245361328125,0.2093505859375,0.18206787109375,0.160064697265625,0.1396942138671875,0.12055206298828125,0.1044769287109375,0.09152984619140625
0.5,0.75,0.5,0.4375,0.3125,0.296875,0.203125,0.2109375,0.23046875,0.205078125,0.18359375,0.162841796875,0.1461181640625,0.12554931640625,0.109649658203125,0.0955810546875,0.08267974853515625,0.0715484619140625,0.06254005432128906
1.0,1.0,0.625,0.5,0.4375,0.390625,0.34375,0.30078125,0.255859375,0.224609375,0.1865234375,0.160888671875,0.14404296875,0.12469482421875,0.105560302734375,0.091094970703125,0.0778350830078125,0.06784439086914062,0.05922889709472656
1.0,1.0,0.75,0.5,0.4375,0.5,0.515625,0.47265625,0.3984375,0.318359375,0.27490234375,0.244140625,0.214599609375,0.18682861328125,0.16015625,0.1379241943359375,0.12029266357421875,0.10445785522460938,0.09118843078613281
1.0,0.75,0.5,0.375,0.28125,0.1875,0.171875,0.140625,0.1328125,0.1015625,0.0830078125,0.07763671875,0.0712890625,0.060302734375,0.05224609375,0.04571533203125,0.039794921875,0.03505706787109375,0.030416488647460938
1.0,0.75,0.75,0.625,0.4375,0.34375,0.2890625,0.234375,0.224609375,0.216796875,0.18212890625,0.162841796875,0.1424560546875,0.123779296875,0.10595703125,0.090301513671875,0.07825469970703125,0.06805038452148438,0.05912017822265625
1.0,0.5,0.75,0.5625,0.5,0.40625,0.375,0.27734375,0.251953125,0.205078125,0.17431640625,0.142822265625,0.122314453125,0.10894775390625,0.09417724609375,0.0810546875,0.07025146484375,0.0609893798828125,0.05289649963378906
1.0,1.0,1.0,1.0,0.90625,0.78125,0.78125,0.64453125,0.572265625,0.5087890625,0.4541015625,0.397705078125,0.3485107421875,0.30389404296875,0.265380859375,0.2293701171875,0.19976043701171875,0.17271804809570312,0.1505451202392578
