n=2,n=4,n=8,n=16,n=32,n=64,n=128,n=256,n=512,n=1024,n=2048,n=4096,n=8192,n=16384,n=32768,n=65536,n=131072,n=262144,n=524288
0.5,0.25,0.25,0.25,0.28125,0.296875,0.3046875,0.30859375,0.30078125,0.3017578125,0.30615234375,0.312255859375,0.3182373046875,0.3194580078125,0.32159423828125,0.319366455078125,0.31969451904296875,0.3189506530761719,0.318603515625
0.5,0.5,0.375,0.25,0.28125,0.328125,0.2890625,0.2734375,0.298828125,0.3134765625,0.31689453125,0.319091796875,0.318359375,0.32073974609375,0.322479248046875,0.3241424560546875,0.325408935546875,0.3262939453125,0.32564735412597656
1.0,0.75,0.625,0.375,0.28125,0.359375,0.34375,0.296875,0.30078125,0.298828125,0.2939453125,0.29150390625,0.289794921875,0.2908935546875,0.290557861328125,0.293060302734375,0.2933349609375,0.2915306091308594,0.2903785705566406
1.0,0.75,0.5,0.5,0.4375,0.390625,0.4375,0.4296875,0.42578125,0.4189453125,0.41748046875,0.415771484375,0.4136962890625,0.41607666015625,0.41448974609375,0.414703369140625,0.4151763916015625,0.41613006591796875,0.4162139892578125
0.5,0.25,0.375,0.3125,0.34375,0.375,0.359375,0.33984375,0.359375,0.349609375,0.34521484375,0.350341796875,0.3477783203125,0.3482666015625,0.344696044921875,0.3434600830078125,0.342193603515625,0.34226226806640625,0.3430938720703125
0.5,0.25,0.375,0.25,0.21875,0.25,0.234375,0.21484375,0.2109375,0.19921875,0.19140625,0.1923828125,0.1932373046875,0.1903076171875,0.190460205078125,0.1892547607421875,0.188446044921875,0.18861007690429688,0.188934326171875
0.5,0.25,0.375,0.5625,0.625,0.578125,0.546875,0.5234375,0.51171875,0.51953125,0.53564453125,0.517333984375,0.517333984375,0.5228271484375,0.525238037109375,0.523590087890625,0.525482177734375,0.5259056091308594,0.5257797241210938
1.0,0.5,0.25,0.3125,0.28125,0.28125,0.2734375,0.30859375,0.28515625,0.3056640625,0.30859375,0.30615234375,0.3013916015625,0.302001953125,0.29779052734375,0.297332763671875,0.29616546630859375,0.29567718505859375,0.29475975036621094
0.5,0.5,0.5,0.5,0.34375,0.359375,0.390625,0.34375,0.3203125,0.3134765625,0.30810546875,0.319580078125,0.3135986328125,0.31243896484375,0.308624267578125,0.3067169189453125,0.3090057373046875,0.30738067626953125,0.30730438232421875
0.5,0.5,0.625,0.4375,0.4375,0.40625,0.328125,0.359375,0.34375,0.3701171875,0.36767578125,0.3603515625,0.362548828125,0.3626708984375,0.362518310546875,0.363525390625,0.36379241943359375,0.3635978698730469,0.3628387451171875
0.5,0.5,0.375,0.5,0.40625,0.453125,0.4375,0.4453125,0.419921875,0.4140625,0.42431640625,0.417236328125,0.422607421875,0.41961669921875,0.41680908203125,0.419036865234375,0.4179229736328125,0.4183235168457031,0.41876792907714844
1.0,0.75,0.375,0.375,0.3125,0.3125,0.296875,0.3125,0.296875,0.3095703125,0.30908203125,0.318603515625,0.3214111328125,0.32177734375,0.31634521484375,0.3164520263671875,0.3176116943359375,0.3172950744628906,0.3185615539550781
1.0,0.75,0.375,0.375,0.40625,0.4375,0.3671875,0.3515625,0.353515625,0.328125,0.3232421875,0.32373046875,0.3341064453125,0.3370361328125,0.338134765625,0.337493896484375,0.3372039794921875,0.338104248046875,0.3365898132324219
0.5,0.5,0.625,0.375,0.34375,0.4375,0.4296875,0.45703125,0.435546875,0.42578125,0.4541015625,0.448974609375,0.4498291015625,0.4512939453125,0.453155517578125,0.4544830322265625,0.45574188232421875,0.4558868408203125,0.4544181823730469
1.0,0.5,0.75,0.625,0.625,0.578125,0.546875,0.5546875,0.53515625,0.537109375,0.55126953125,0.544921875,0.5418701171875,0.53216552734375,0.52947998046875,0.532928466796875,0.5328521728515625,0.5334434509277344,0.5330581665039062
0.5,0.5,0.375,0.3125,0.28125,0.25,0.296875,0.32421875,0.341796875,0.3271484375,0.33154296875,0.342041015625,0.3480224609375,0.34747314453125,0.348114013671875,0.3490753173828125,0.34759521484375,0.3479270935058594,0.3472003936767578
0.5,0.5,0.375,0.4375,0.375,0.4375,0.3046875,0.33203125,0.306640625,0.31640625,0.30517578125,0.31005859375,0.314453125,0.318115234375,0.318267822265625,0.31927490234375,0.3197784423828125,0.3204917907714844,0.3207893371582031
1.0,0.5,0.625,0.6875,0.6875,0.65625,0.6640625,0.671875,0.63671875,0.61328125,0.61181640625,0.6064453125,0.59765625,0.5972900390625,0.59906005859375,0.598602294921875,0.6006851196289062,0.6013069152832031,0.6015663146972656
0.5,0.25,0.25,0.1875,0.15625,0.171875,0.171875,0.171875,0.1796875,0.1826171875,0.16552734375,0.162353515625,0.1612548828125,0.16046142578125,0.159271240234375,0.159881591796875,0.160675048828125,0.16048431396484375,0.1604290008544922
0.5,0.5,0.25,0.1875,0.125,0.234375,0.2265625,0.1796875,0.177734375,0.1943359375,0.205078125,0.215087890625,0.213134765625,0.21258544921875,0.209991455078125,0.2092742919921875,0.20761871337890625,0.20831680297851562,0.2079296112060547
0.5,0.5,0.625,0.625,0.4375,0.484375,0.4453125,0.453125,0.484375,0.4599609375,0.46044921875,0.470947265625,0.4730224609375,0.471435546875,0.47369384765625,0.474365234375,0.47400665283203125,0.4725227355957031,0.47226715087890625
0.5,0.5,0.25,0.3125,0.3125,0.296875,0.296875,0.2578125,0.26953125,0.2470703125,0.25634765625,0.25830078125,0.2630615234375,0.26617431640625,0.26580810546875,0.2660064697265625,0.2662353515625,0.26613616943359375,0.26671791076660156
1.0,0.75,0.5,0.5,0.5,0.46875,0.4375,0.43359375,0.44921875,0.4619140625,0.45849609375,0.4736328125,0.478515625,0.47711181640625,0.4781494140625,0.481689453125,0.4806365966796875,0.480133056640625,0.48036766052246094
0.5,0.5,0.375,0.375,0.3125,0.34375,0.3203125,0.34765625,0.322265625,0.330078125,0.333984375,0.333251953125,0.3363037109375,0.33477783203125,0.33673095703125,0.337554931640625,0.3356781005859375,0.33487701416015625,0.33548927307128906
0.5,0.5,0.375,0.6875,0.59375,0.59375,0.671875,0.67578125,0.62890625,0.609375,0.61328125,0.606201171875,0.615234375,0.6156005859375,0.615875244140625,0.6153564453125,0.6162109375,0.6178245544433594,0.6178131103515625
0.5,0.75,0.75,0.5625,0.5,0.46875,0.3984375,0.40625,0.40234375,0.4150390625,0.4208984375,0.438232421875,0.44140625,0.4345703125,0.436798095703125,0.4339752197265625,0.4347686767578125,0.4353599548339844,0.4353294372558594
1.0,0.5,0.5,0.375,0.34375,0.328125,0.2734375,0.28125,0.255859375,0.2607421875,0.25830078125,0.26611328125,0.261474609375,0.2559814453125,0.2532958984375,0.2554779052734375,0.25432586669921875,0.2546348571777344,0.25399017333984375
1.0,1.0,0.625,0.5,0.5,0.375,0.359375,0.3671875,0.353515625,0.3779296875,0.3798828125,0.38671875,0.3834228515625,0.39239501953125,0.388916015625,0.3892822265625,0.3907623291015625,0.391387939453125,0.39068031311035156
0.5,0.5,0.5,0.4375,0.40625,0.390625,0.3203125,0.32421875,0.302734375,0.296875,0.29296875,0.289794921875,0.28662109375,0.28729248046875,0.28271484375,0.285369873046875,0.28466033935546875,0.28433990478515625,0.283905029296875
1.0,0.75,0.625,0.4375,0.34375,0.375,0.3984375,0.390625,0.37109375,0.3583984375,0.34619140625,0.341064453125,0.349853515625,0.3541259765625,0.352203369140625,0.3506622314453125,0.34881591796875,0.3468666076660156,0.3456764221191406
0.5,0.75,0.875,0.6875,0.65625,0.703125,0.65625,0.58203125,0.568359375,0.568359375,0.56982421875,0.564208984375,0.5684814453125,0.56732177734375,0.5677490234375,0.5662078857421875,0.5674667358398438,0.5679893493652344,0.5683059692382812
0.5,0.25,0.25,0.375,0.5,0.46875,0.484375,0.44921875,0.458984375,0.4716796875,0.45751953125,0.46484375,0.4613037109375,0.45703125,0.456512451171875,0.4527587890625,0.4547119140625,0.45334625244140625,0.4534492492675781
0.5,0.25,0.5,0.5625,0.59375,0.546875,0.4921875,0.48046875,0.482421875,0.4794921875,0.5078125,0.509033203125,0.5107421875,0.50213623046875,0.50079345703125,0.502960205078125,0.5006637573242188,0.5025863647460938,0.5030403137207031
1.0,0.75,0.5,0.3125,0.28125,0.296875,0.2734375,0.2890625,0.298828125,0.3115234375,0.30810546875,0.300048828125,0.298828125,0.30108642578125,0.30169677734375,0.3020477294921875,0.302520751953125,0.3027458190917969,0.3025493621826172
0.5,0.5,0.375,0.3125,0.28125,0.25,0.2421875,0.25390625,0.271484375,0.2783203125,0.28173828125,0.282958984375,0.2779541015625,0.27777099609375,0.278656005859375,0.2779083251953125,0.27674102783203125,0.2754783630371094,0.27612876892089844
0.5,0.25,0.25,0.3125,0.34375,0.359375,0.34375,0.30078125,0.298828125,0.296875,0.31103515625,0.305419921875,0.31640625,0.31378173828125,0.312591552734375,0.3070831298828125,0.3072357177734375,0.3056449890136719,0.30443382263183594
1.0,0.75,0.75,0.625,0.5625,0.5,0.5390625,0.54296875,0.5234375,0.5205078125,0.51025390625,0.509033203125,0.5106201171875,0.50714111328125,0.505218505859375,0.505615234375,0.5064849853515625,0.5058670043945312,0.5050392150878906
