n=2,n=4,n=8,n=16,n=32,n=64,n=128,n=256,n=512,n=1024,n=2048,n=4096,n=8192,n=16384,n=32768,n=65536,n=131072,n=262144,n=524288
0.0,0.25,0.125,0.125,0.125,0.125,0.109375,0.10546875,0.095703125,0.111328125,0.103515625,0.096435546875,0.0997314453125,0.09906005859375,0.096282958984375,0.09661865234375,0.0972442626953125,0.0973358154296875,0.09697723388671875
0.0,0.25,0.125,0.1875,0.1875,0.234375,0.234375,0.234375,0.21875,0.232421875,0.2216796875,0.221923828125,0.2305908203125,0.2264404296875,0.224945068359375,0.2245025634765625,0.22454833984375,0.2245635986328125,0.22484779357910156
0.0,0.0,0.125,0.125,0.21875,0.21875,0.234375,0.2421875,0.22265625,0.224609375,0.22705078125,0.233642578125,0.2327880859375,0.23046875,0.229522705078125,0.2285308837890625,0.22922515869140625,0.22959518432617188,0.23093605041503906
0.0,0.0,0.0,0.0625,0.0625,0.109375,0.140625,0.12109375,0.123046875,0.1376953125,0.13916015625,0.134033203125,0.144287109375,0.1444091796875,0.14385986328125,0.1427154541015625,0.14125823974609375,0.14232635498046875,0.14263153076171875
0.0,0.25,0.125,0.125,0.15625,0.140625,0.1328125,0.1015625,0.125,0.1220703125,0.119140625,0.116943359375,0.1138916015625,0.11273193359375,0.11083984375,0.110382080078125,0.1097259521484375,0.10979461669921875,0.10997962951660156
0.0,0.25,0.125,0.125,0.15625,0.15625,0.1171875,0.13671875,0.146484375,0.1337890625,0.1494140625,0.140625,0.1429443359375,0.142333984375,0.141571044921875,0.1401519775390625,0.1405792236328125,0.14196395874023438,0.1417236328125
0.0,0.25,0.125,0.125,0.09375,0.078125,0.1015625,0.08203125,0.076171875,0.068359375,0.06103515625,0.064453125,0.06396484375,0.06268310546875,0.063507080078125,0.063385009765625,0.06392669677734375,0.06401824951171875,0.06383895874023438
0.0,0.25,0.125,0.1875,0.21875,0.25,0.2265625,0.2109375,0.193359375,0.189453125,0.18798828125,0.199462890625,0.198974609375,0.197509765625,0.19732666015625,0.1969757080078125,0.1968994140625,0.1971435546875,0.1967926025390625
0.0,0.25,0.125,0.125,0.0625,0.078125,0.109375,0.1171875,0.154296875,0.1611328125,0.17529296875,0.169677734375,0.1728515625,0.17449951171875,0.17254638671875,0.1717071533203125,0.17127227783203125,0.17229843139648438,0.1727294921875
0.0,0.25,0.125,0.1875,0.125,0.15625,0.1796875,0.1796875,0.201171875,0.1904296875,0.19873046875,0.195556640625,0.192138671875,0.19573974609375,0.197265625,0.195465087890625,0.19504547119140625,0.19450759887695312,0.19508934020996094
0.0,0.25,0.125,0.0625,0.15625,0.109375,0.0859375,0.1015625,0.115234375,0.107421875,0.10986328125,0.099609375,0.0997314453125,0.0992431640625,0.101837158203125,0.10064697265625,0.1022491455078125,0.10337066650390625,0.10346603393554688
0.0,0.0,0.125,0.125,0.125,0.140625,0.125,0.12890625,0.13671875,0.1328125,0.13330078125,0.136474609375,0.1402587890625,0.1395263671875,0.1375732421875,0.135162353515625,0.13384246826171875,0.13428497314453125,0.1331195831298828
