suffix,n,tau,W,X,Y,Z,vary_par_name,vary_par_critical_value,p_critical_value
_5,8,5,2.0,-1.0,3,0,W,2.177859897209266,0.5854719829528323
_5,8,5,2.0,-1.0,3,0,X,-0.6833698394195389,0.5439222938402819
_5,8,5,2.0,-1.0,3,0,Y,2.6927352990598936,0.5976629615938743
_5,8,5,2.0,-1.0,3,0,Z,-0.18115536697503293,0.5570134324617666
