suffix,n,tau,W,X,Y,Z,vary_par_name,vary_par_critical_value,p_critical_value
_6,8,5,2.5,-1.0,3,0,W,2.177859897209261,0.585471982952832
_6,8,5,2.5,-1.0,3,0,X,-2.047993457010807,0.6690199815241712
_6,8,5,2.5,-1.0,3,0,Y,3.579571547445201,0.5659146080306721
_6,8,5,2.5,-1.0,3,0,Z,0.4360757950532196,0.645405990952623
