suffix,n,tau,W,X,Y,Z,q_0,q_1,q_hat,p_at_q_hat
_5,8,5,2.0,-1.0,3,0,0.3858439178824313,0.477696732657479,0.8165052730210235,0.5778354650420044
_7,8,4,2.0,-0.5,3,0,0.5903972930426361,0.3858439393028077,1,0.37619932219523794
