nV,q0V,q1V,qhV
4,0.7887891517627115,0.7020623498731811,1.0
6,0.6870578243621561,0.649993013167856,1.0
8,0.6372157683369832,0.6220341166714232,1.0
10,0.6077291663846919,0.6043765179084867,1.0
12,0.5882636506683333,0.5920949486086658,1.0
14,0.5744628237627616,0.58299189639049,0.976482209000538
16,0.5641747443223383,0.5759346052106624,0.9289255631047655
18,0.5562145368136762,0.5702774512500958,0.8994411467341838
