nV,q0V,q1V,qhV
4,0.8569187426908819,0.5566454317023538,1.0
6,0.7528434033341582,0.5244125165465457,1.0
8,0.6972979983313468,0.5098080898221626,1.0
10,0.662923750293128,0.5017705586037595,0.9903716012656973
12,0.6394989685285604,0.4968344639301916,0.9143634024361058
14,0.6224639355936408,0.49358354480860933,0.8725262751284192
16,0.6094867422813205,0.4913375548012086,0.8455489556874364
18,0.5992511046916444,0.489731965780894,0.8267269791037359
