nV,q0V,q1V,qhV
4,0.7488882959567075,0.5566454317023538,1.0
6,0.6511566876508947,0.5244125165465457,1.0
8,0.6050634415811025,0.5098080898221626,0.8841030900342981
10,0.5784146353162655,0.5017705586037595,0.814578604863831
12,0.5611362336910418,0.4968344639301916,0.7762287656405618
14,0.5490757263606797,0.49358354480860933,0.7522998985135569
16,0.54021209415668,0.4913375548012086,0.7361495428015812
18,0.5334450681033289,0.489731965780894,0.7246346318700678
