suffix,n,tau,W,X,Y,Z,q_0,q_1,q_hat,p_at_q_hat
_0,10,5,2,-1,3,0,0.5784146353162655,0.5017705586037595,0.814578604863831,0.44150271370399297
_1,8,4,2,-1,3,0,0.6050634415811025,0.5098080898221626,0.8841030900342981,0.42611661016028807
_2,6,3,2,-1,3,0,0.6511566876508947,0.5244125165465457,1,0.4
_3,4,2,2,-1,3,0,0.7488882959567075,0.5566454317023538,1,0.3333333333333333
