suffix,n,tau,W,X,Y,Z,q_0,q_1,q_hat,p_at_q_hat
_0,8,7,2,-1,3,0,0.28280506070193745,0.7438958699387853,1,0.8571428571428571
_1,8,6,2,-1,3,0,0.4026876907323268,0.6861649155909642,0.9531852449770701,0.7169031945954975
_2,8,5,2,-1,3,0,0.5098080898221626,0.6050634415811025,0.8841030900342981,0.5738833898397115
_3,8,4,2,-1,3,0,0.6050634415811025,0.5098080898221626,0.8841030900342981,0.42611661016028807
_4,8,3,2,-1,3,0,0.6861649155909642,0.4026876907323268,0.9531852449770701,0.2830968054044982
_5,8,2,2,-1,3,0,0.7438958699387853,0.28280506070193745,1,0.14285714285714285
