suffix,n,tau,W,X,Y,Z,q_0,q_1,q_hat,p_at_q_hat
_5,8,5,2.0,-1.0,3,0,0.5098080898221626,0.6050634415811025,0.8841030900342981,0.5738833898397115
_7,8,4,2.0,-0.5,3,0,0.6972979983313468,0.5098080898221626,1,0.38461538461538464
