partition,sum_product_mistake_indices
1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,355687428096000
1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2,6046686277632000
1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|3,4823280687052800
1|1|1|1|1|1|1|1|1|1|1|1|1|1|2|2,38726928846950400
1|1|1|1|1|1|1|1|1|1|1|1|1|1|4,3001678242428160
1|1|1|1|1|1|1|1|1|1|1|1|1|2|3,51337462608794880
1|1|1|1|1|1|1|1|1|1|1|1|1|5,1418364266700672
1|1|1|1|1|1|1|1|1|1|1|1|2|2|2,121182456433121280
1|1|1|1|1|1|1|1|1|1|1|1|2|4,26421488460286848
1|1|1|1|1|1|1|1|1|1|1|1|3|3,14688696864652416
1|1|1|1|1|1|1|1|1|1|1|1|6,509064360856560
1|1|1|1|1|1|1|1|1|1|1|2|2|3,197494509191695488
1|1|1|1|1|1|1|1|1|1|1|2|5,10293705693403776
1|1|1|1|1|1|1|1|1|1|1|3|4,13010274559892880
1|1|1|1|1|1|1|1|1|1|1|7,140051711622176
1|1|1|1|1|1|1|1|1|1|2|2|2|2,200222599863942144
1|1|1|1|1|1|1|1|1|1|2|2|4,82485907867222704
1|1|1|1|1|1|1|1|1|1|2|3|3,92245171908382848
1|1|1|1|1|1|1|1|1|1|2|6,3027634674590848
1|1|1|1|1|1|1|1|1|1|3|5,4376044998771152
1|1|1|1|1|1|1|1|1|1|4|4,2456250317534464
1|1|1|1|1|1|1|1|1|1|8,29823245437976
1|1|1|1|1|1|1|1|1|2|2|2|3,348539735171263824
1|1|1|1|1|1|1|1|1|2|2|5,25847980822087872
1|1|1|1|1|1|1|1|1|2|3|4,65756399435907536
1|1|1|1|1|1|1|1|1|2|7,675694710142632
1|1|1|1|1|1|1|1|1|3|3|3,12396667799185904
1|1|1|1|1|1|1|1|1|3|6,1113281405497128
1|1|1|1|1|1|1|1|1|4|5,1407251589933240
1|1|1|1|1|1|1|1|1|9,4951400140040
1|1|1|1|1|1|1|1|2|2|2|2|2,175758245215460352
1|1|1|1|1|1|1|1|2|2|2|4,114703001180145984
1|1|1|1|1|1|1|1|2|2|3|3,193416029079290288
1|1|1|1|1|1|1|1|2|2|6,6038442233671224
1|1|1|1|1|1|1|1|2|3|5,17550553316074296
1|1|1|1|1|1|1|1|2|4|4,9868884259086808
1|1|1|1|1|1|1|1|2|8,115030649198280
1|1|1|1|1|1|1|1|3|3|4,11315577426982392
1|1|1|1|1|1|1|1|3|7,214500336195696
1|1|1|1|1|1|1|1|4|6,304650428014704
1|1|1|1|1|1|1|1|5|5,170525604181792
1|1|1|1|1|1|1|1|10,643294838111
1|1|1|1|1|1|1|2|2|2|2|3,295370567771218368
1|1|1|1|1|1|1|2|2|2|5,27834105284735440
1|1|1|1|1|1|1|2|2|3|4,106841157057589936
1|1|1|1|1|1|1|2|2|7,1051288358434848
1|1|1|1|1|1|1|2|3|3|3,40455082719711280
1|1|1|1|1|1|1|2|3|6,3479126839876560
