partition,sum_product_mistake_indices
1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,1307674368000
1|1|1|1|1|1|1|1|1|1|1|1|1|1|2,19615115520000
1|1|1|1|1|1|1|1|1|1|1|1|1|3,15275952518400
1|1|1|1|1|1|1|1|1|1|1|1|2|2,106753903603200
1|1|1|1|1|1|1|1|1|1|1|1|4,9110134903680
1|1|1|1|1|1|1|1|1|1|1|2|3,134816438413440
1|1|1|1|1|1|1|1|1|1|1|5,4053139199856
1|1|1|1|1|1|1|1|1|1|2|2|2,270698151191040
1|1|1|1|1|1|1|1|1|1|2|4,64737087645744
1|1|1|1|1|1|1|1|1|1|3|3,36131100025968
1|1|1|1|1|1|1|1|1|1|6,1346325854256
1|1|1|1|1|1|1|1|1|2|2|3,407395879617744
1|1|1|1|1|1|1|1|1|2|5,23043317530320
1|1|1|1|1|1|1|1|1|3|4,29321790925680
1|1|1|1|1|1|1|1|1|7,336653747176
1|1|1|1|1|1|1|1|2|2|2|2,339961486309632
1|1|1|1|1|1|1|1|2|2|4,153169917678144
1|1|1|1|1|1|1|1|2|3|3,171994675992048
1|1|1|1|1|1|1|1|2|6,6056876104688
1|1|1|1|1|1|1|1|3|5,8829689386696
1|1|1|1|1|1|1|1|4|4,4969235034152
1|1|1|1|1|1|1|1|8,63850536496
1|1|1|1|1|1|1|2|2|2|3,523423639151424
1|1|1|1|1|1|1|2|2|5,42032471350008
1|1|1|1|1|1|1|2|3|4,107669425683160
1|1|1|1|1|1|1|2|7,1178218166200
1|1|1|1|1|1|1|3|3|3,20385076220416
1|1|1|1|1|1|1|3|6,1960121543208
1|1|1|1|1|1|1|4|5,2488579550040
1|1|1|1|1|1|1|9,9219406943
1|1|1|1|1|1|2|2|2|2|2,206640424417536
1|1|1|1|1|1|2|2|2|4,147143876734536
1|1|1|1|1|1|2|2|3|3,249170691561304
1|1|1|1|1|1|2|2|6,8332082388608
1|1|1|1|1|1|2|3|5,24427850362048
1|1|1|1|1|1|2|4|4,13773110213152
1|1|1|1|1|1|2|8,169686235077
1|1|1|1|1|1|3|3|4,15860862132240
1|1|1|1|1|1|3|7,319712501708
1|1|1|1|1|1|4|6,456575613938
1|1|1|1|1|1|5|5,256008527851
1|1|1|1|1|1|10,1011778943
1|1|1|1|1|2|2|2|2|3,287424737224824
1|1|1|1|1|2|2|2|5,29276013767864
1|1|1|1|1|2|2|3|4,113167983221328
1|1|1|1|1|2|2|7,1184294829918
1|1|1|1|1|2|3|3|3,43037827909944
1|1|1|1|1|2|3|6,3957724085756
1|1|1|1|1|2|4|5,5035163506560
1|1|1|1|1|2|9,17994017223
1|1|1|1|1|3|3|5,2937457323660
1|1|1|1|1|3|4|4,3327115711957
1|1|1|1|1|3|8,38065932637
1|1|1|1|1|4|7,60812877226
1|1|1|1|1|5|6,76130852782
1|1|1|1|1|11,83683203
1|1|1|1|2|2|2|2|2|2,54688298056320
1|1|1|1|2|2|2|2|4,55691945617496
1|1|1|1|2|2|2|3|3,126354655598104
1|1|1|1|2|2|2|6,4028351668988
1|1|1|1|2|2|3|5,17807991222138
1|1|1|1|2|2|4|4,10058112579264
1|1|1|1|2|2|8,119115007575
1|1|1|1|2|3|3|4,23242712225544
1|1|1|1|2|3|7,450381694436
1|1|1|1|2|4|6,644324851196
1|1|1|1|2|5|5,361492472415
1|1|1|1|2|10,1384414290
1|1|1|1|3|3|3|3,2229155153902
1|1|1|1|3|3|6,380251284314
1|1|1|1|3|4|5,972809324132
1|1|1|1|3|9,3260416848
1|1|1|1|4|4|4,184759920913
1|1|1|1|4|8,5788737495
1|1|1|1|5|7,8046258720
1|1|1|1|6|6,4478346753
1|1|1|1|12,5124723
1|1|1|2|2|2|2|2|3,58865926302568
1|1|1|2|2|2|2|5,7160370416939
1|1|1|2|2|2|3|4,37111657804646
1|1|1|2|2|2|7,372502233788
1|1|1|2|2|3|3|3,21254717048536
1|1|1|2|2|3|6,1875086909596
1|1|1|2|2|4|5,2390294302236
1|1|1|2|2|9,8255567439
1|1|1|2|3|3|5,2796091257516
1|1|1|2|3|4|4,3171735726746
1|1|1|2|3|8,35020976826
1|1|1|2|4|7,56025661800
1|1|1|2|5|6,70183231980
1|1|1|2|11,75059574
1|1|1|3|3|3|4,1229934058942
1|1|1|3|3|7,33389117520
1|1|1|3|4|6,96023374050
1|1|1|3|5|5,53967544932
1|1|1|3|10,195246630
1|1|1|4|4|5,61905062067
1|1|1|4|9,382657211
1|1|1|5|8,587127359
1|1|1|6|7,722793578
1|1|1|13,225101
1|1|2|2|2|2|2|2|2,4851884975232
1|1|2|2|2|2|2|4,6624563021451
1|1|2|2|2|2|3|3,18870760825203
1|1|2|2|2|2|6,575601252903
1|1|2|2|2|3|5,3409481482670
1|1|2|2|2|4|4,1928867405672
1|1|2|2|2|8,22007111741
1|1|2|2|3|3|4,6706775976942
1|1|2|2|3|7,125225487144
1|1|2|2|4|6,179460076440
1|1|2|2|5|5,100741537971
1|1|2|2|10,374406525
1|1|2|3|3|3|3,1290778400010
1|1|2|3|3|6,212245570128
1|1|2|3|4|5,543950801640
1|1|2|3|9,1767169180
1|1|2|4|4|4,103434543021
1|1|2|4|8,3140750043
1|1|2|5|7,4367921004
1|1|2|6|6,2431494433
1|1|2|12,2715913
1|1|3|3|3|5,106612027466
1|1|3|3|4|4,182066009049
1|1|3|3|8,1887242086
1|1|3|4|7,6064839002
1|1|3|5|6,7614340412
1|1|3|11,7747552
1|1|4|4|6,4395025763
1|1|4|5|5,4953871602
1|1|4|10,16652715
1|1|5|9,28039544
1|1|6|8,37945843
1|1|7|7,20950787
1|1|14,6701
1|2|2|2|2|2|2|3,2956199199349
1|2|2|2|2|2|5,413755182681
1|2|2|2|2|3|4,2694567934769
1|2|2|2|2|7,26008698659
1|2|2|2|3|3|3,2065241452850
1|2|2|2|3|6,175263075474
1|2|2|2|4|5,223845354216
1|2|2|2|9,748448819
1|2|2|3|3|5,393722494764
1|2|2|3|4|4,447253323621
1|2|2|3|8,4774764603
1|2|2|4|7,7648982076
1|2|2|5|6,9588025224
1|2|2|11,9988359
1|2|3|3|3|4,347806732970
1|2|3|3|7,9131899772
1|2|3|4|6,26303652082
1|2|3|5|5,14790903372
1|2|3|10,52049510
1|2|4|4|5,16982576469
1|2|4|9,102085097
1|2|5|8,156692289
1|2|6|7,192931934
1|2|13,58811
1|3|3|3|3|3,20220735115
1|3|3|3|6,5206447498
1|3|3|4|5,20108615612
1|3|3|9,61769338
1|3|4|4|4,7670574065
1|3|4|8,220359799
1|3|5|7,307119664
1|3|6|6,171089142
1|3|12,182813
1|4|4|7,178300507
1|4|5|6,449376258
1|4|11,428351
1|5|5|5,84701526
1|5|10,787033
1|6|9,1164241
1|7|8,1410123
1|15,121
2|2|2|2|2|2|2|2,61503864832
2|2|2|2|2|2|4,107631763456
2|2|2|2|2|3|3,369421571495
2|2|2|2|2|6,10813677568
2|2|2|2|3|5,80441373614
2|2|2|2|4|4,45579370496
2|2|2|2|8,502011392
2|2|2|3|3|4,211925915310
2|2|2|3|7,3820873614
