theta_idx_l,theta_idx_m,den,num_1|1|1|1|1|1|1|1|1|1|1|1,num_1|1|1|1|1|1|1|1|1|1|2,num_1|1|1|1|1|1|1|1|1|3,num_1|1|1|1|1|1|1|1|2|2,num_1|1|1|1|1|1|1|1|4,num_1|1|1|1|1|1|1|2|3,num_1|1|1|1|1|1|1|5,num_1|1|1|1|1|1|2|2|2,num_1|1|1|1|1|1|2|4,num_1|1|1|1|1|1|3|3,num_1|1|1|1|1|1|6,num_1|1|1|1|1|2|2|3,num_1|1|1|1|1|2|5,num_1|1|1|1|1|3|4,num_1|1|1|1|1|7,num_1|1|1|1|2|2|2|2,num_1|1|1|1|2|2|4,num_1|1|1|1|2|3|3,num_1|1|1|1|2|6,num_1|1|1|1|3|5,num_1|1|1|1|4|4,num_1|1|1|1|8,num_1|1|1|2|2|2|3,num_1|1|1|2|2|5,num_1|1|1|2|3|4,num_1|1|1|2|7,num_1|1|1|3|3|3,num_1|1|1|3|6,num_1|1|1|4|5,num_1|1|1|9,num_1|1|2|2|2|2|2,num_1|1|2|2|2|4,num_1|1|2|2|3|3,num_1|1|2|2|6,num_1|1|2|3|5,num_1|1|2|4|4,num_1|1|2|8,num_1|1|3|3|4,num_1|1|3|7,num_1|1|4|6,num_1|1|5|5,num_1|1|10,num_1|2|2|2|2|3,num_1|2|2|2|5,num_1|2|2|3|4,num_1|2|2|7,num_1|2|3|3|3,num_1|2|3|6,num_1|2|4|5,num_1|2|9,num_1|3|3|5,num_1|3|4|4,num_1|3|8,num_1|4|7,num_1|5|6,num_1|11,num_2|2|2|2|2|2,num_2|2|2|2|4,num_2|2|2|3|3,num_2|2|2|6,num_2|2|3|5,num_2|2|4|4,num_2|2|8,num_2|3|3|4,num_2|3|7,num_2|4|6,num_2|5|5,num_2|10,num_3|3|3|3,num_3|3|6,num_3|4|5,num_3|9,num_4|4|4,num_4|8,num_5|7,num_6|6,num_12
7,4,792,0,0,0,0,56,21,175,6,110,90,300,55,250,220,350,24,180,156,360,350,344,280,108,335,313,350,297,375,381,126,60,272,248,410,426,428,196,438,231,246,250,0,186,436,435,301,432,351,370,0,405,420,0,0,0,0,120,392,372,456,525,544,0,594,0,0,0,0,648,0,0,0,0,0,0,0,0
7,5,792,0,0,126,56,280,210,350,150,340,330,300,305,350,365,175,264,384,390,240,271,280,56,393,316,347,91,369,111,120,0,380,394,416,146,175,184,0,204,0,0,0,0,456,230,268,0,297,0,0,0,0,0,0,0,0,0,480,352,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6,792,0,252,378,392,336,399,210,438,282,306,90,355,136,159,21,408,196,216,36,45,48,0,264,60,72,0,81,0,0,0,320,96,108,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,792,792,540,288,344,120,162,36,198,54,60,6,76,10,12,0,96,16,18,0,0,0,0,24,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,45,0,0,0,0,0,0,0,9,0,0,1,0,0,165,0,0,0,0,0,0,1,0,0,0,0,45,0,0,0,9,0,1,0,0,495
8,2,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,1,32,0,0,0,12,0,9,9,108,0,0,0,2,1,1,60,0,47,45,45,240,0,0,0,19,0,10,9,192,2,1,172,166,165,330,0,0,0,3,1,1,88,0,54,46,45,450,0,18,10,486,3,494,495,495,0
8,3,495,0,0,0,0,0,0,0,0,0,0,15,0,5,5,70,0,1,1,38,32,32,168,0,15,12,126,9,111,108,252,0,3,2,76,62,60,252,49,245,241,240,210,0,30,20,217,12,199,193,294,179,174,322,329,330,0,0,6,3,129,97,90,406,64,441,449,450,0,36,477,485,0,492,0,0,0,0
8,4,495,0,0,0,0,0,0,35,0,15,15,120,5,80,70,210,1,44,38,186,172,168,224,18,145,129,252,117,255,253,126,5,93,80,262,257,254,182,251,203,209,210,0,43,240,225,259,213,286,293,0,314,320,0,0,0,0,15,169,147,363,397,404,0,431,0,0,0,0,459,0,0,0,0,0,0,0,0
8,5,495,0,0,0,0,70,35,175,15,135,120,225,90,225,215,175,56,205,194,215,225,226,70,168,250,256,105,261,120,125,0,130,271,272,155,175,180,0,195,0,0,0,0,268,225,250,0,270,0,0,0,0,0,0,0,0,0,240,320,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,6,495,0,0,126,70,224,196,210,165,234,237,120,246,160,175,35,246,205,217,55,65,68,0,249,85,98,0,108,0,0,0,280,128,141,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
