theta_idx_l,theta_idx_m,den,num_1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,num_1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2,num_1|1|1|1|1|1|1|1|1|1|1|1|1|1|3,num_1|1|1|1|1|1|1|1|1|1|1|1|1|2|2,num_1|1|1|1|1|1|1|1|1|1|1|1|1|4,num_1|1|1|1|1|1|1|1|1|1|1|1|2|3,num_1|1|1|1|1|1|1|1|1|1|1|1|5,num_1|1|1|1|1|1|1|1|1|1|1|2|2|2,num_1|1|1|1|1|1|1|1|1|1|1|2|4,num_1|1|1|1|1|1|1|1|1|1|1|3|3,num_1|1|1|1|1|1|1|1|1|1|1|6,num_1|1|1|1|1|1|1|1|1|1|2|2|3,num_1|1|1|1|1|1|1|1|1|1|2|5,num_1|1|1|1|1|1|1|1|1|1|3|4,num_1|1|1|1|1|1|1|1|1|1|7,num_1|1|1|1|1|1|1|1|1|2|2|2|2,num_1|1|1|1|1|1|1|1|1|2|2|4,num_1|1|1|1|1|1|1|1|1|2|3|3,num_1|1|1|1|1|1|1|1|1|2|6,num_1|1|1|1|1|1|1|1|1|3|5,num_1|1|1|1|1|1|1|1|1|4|4,num_1|1|1|1|1|1|1|1|1|8,num_1|1|1|1|1|1|1|1|2|2|2|3,num_1|1|1|1|1|1|1|1|2|2|5,num_1|1|1|1|1|1|1|1|2|3|4,num_1|1|1|1|1|1|1|1|2|7,num_1|1|1|1|1|1|1|1|3|3|3,num_1|1|1|1|1|1|1|1|3|6,num_1|1|1|1|1|1|1|1|4|5,num_1|1|1|1|1|1|1|1|9,num_1|1|1|1|1|1|1|2|2|2|2|2,num_1|1|1|1|1|1|1|2|2|2|4,num_1|1|1|1|1|1|1|2|2|3|3,num_1|1|1|1|1|1|1|2|2|6,num_1|1|1|1|1|1|1|2|3|5,num_1|1|1|1|1|1|1|2|4|4,num_1|1|1|1|1|1|1|2|8,num_1|1|1|1|1|1|1|3|3|4,num_1|1|1|1|1|1|1|3|7,num_1|1|1|1|1|1|1|4|6,num_1|1|1|1|1|1|1|5|5,num_1|1|1|1|1|1|1|10,num_1|1|1|1|1|1|2|2|2|2|3,num_1|1|1|1|1|1|2|2|2|5,num_1|1|1|1|1|1|2|2|3|4,num_1|1|1|1|1|1|2|2|7,num_1|1|1|1|1|1|2|3|3|3,num_1|1|1|1|1|1|2|3|6,num_1|1|1|1|1|1|2|4|5,num_1|1|1|1|1|1|2|9,num_1|1|1|1|1|1|3|3|5,num_1|1|1|1|1|1|3|4|4,num_1|1|1|1|1|1|3|8,num_1|1|1|1|1|1|4|7,num_1|1|1|1|1|1|5|6,num_1|1|1|1|1|1|11,num_1|1|1|1|1|2|2|2|2|2|2,num_1|1|1|1|1|2|2|2|2|4,num_1|1|1|1|1|2|2|2|3|3,num_1|1|1|1|1|2|2|2|6,num_1|1|1|1|1|2|2|3|5,num_1|1|1|1|1|2|2|4|4,num_1|1|1|1|1|2|2|8,num_1|1|1|1|1|2|3|3|4,num_1|1|1|1|1|2|3|7,num_1|1|1|1|1|2|4|6,num_1|1|1|1|1|2|5|5,num_1|1|1|1|1|2|10,num_1|1|1|1|1|3|3|3|3,num_1|1|1|1|1|3|3|6,num_1|1|1|1|1|3|4|5,num_1|1|1|1|1|3|9,num_1|1|1|1|1|4|4|4,num_1|1|1|1|1|4|8,num_1|1|1|1|1|5|7,num_1|1|1|1|1|6|6,num_1|1|1|1|1|12,num_1|1|1|1|2|2|2|2|2|3,num_1|1|1|1|2|2|2|2|5,num_1|1|1|1|2|2|2|3|4,num_1|1|1|1|2|2|2|7,num_1|1|1|1|2|2|3|3|3,num_1|1|1|1|2|2|3|6,num_1|1|1|1|2|2|4|5,num_1|1|1|1|2|2|9,num_1|1|1|1|2|3|3|5,num_1|1|1|1|2|3|4|4,num_1|1|1|1|2|3|8,num_1|1|1|1|2|4|7,num_1|1|1|1|2|5|6,num_1|1|1|1|2|11,num_1|1|1|1|3|3|3|4,num_1|1|1|1|3|3|7,num_1|1|1|1|3|4|6,num_1|1|1|1|3|5|5,num_1|1|1|1|3|10,num_1|1|1|1|4|4|5,num_1|1|1|1|4|9,num_1|1|1|1|5|8,num_1|1|1|1|6|7,num_1|1|1|1|13,num_1|1|1|2|2|2|2|2|2|2,num_1|1|1|2|2|2|2|2|4,num_1|1|1|2|2|2|2|3|3,num_1|1|1|2|2|2|2|6,num_1|1|1|2|2|2|3|5,num_1|1|1|2|2|2|4|4,num_1|1|1|2|2|2|8,num_1|1|1|2|2|3|3|4,num_1|1|1|2|2|3|7,num_1|1|1|2|2|4|6,num_1|1|1|2|2|5|5,num_1|1|1|2|2|10,num_1|1|1|2|3|3|3|3,num_1|1|1|2|3|3|6,num_1|1|1|2|3|4|5,num_1|1|1|2|3|9,num_1|1|1|2|4|4|4,num_1|1|1|2|4|8,num_1|1|1|2|5|7,num_1|1|1|2|6|6,num_1|1|1|2|12,num_1|1|1|3|3|3|5,num_1|1|1|3|3|4|4,num_1|1|1|3|3|8,num_1|1|1|3|4|7,num_1|1|1|3|5|6,num_1|1|1|3|11,num_1|1|1|4|4|6,num_1|1|1|4|5|5,num_1|1|1|4|10,num_1|1|1|5|9,num_1|1|1|6|8,num_1|1|1|7|7,num_1|1|1|14,num_1|1|2|2|2|2|2|2|3,num_1|1|2|2|2|2|2|5,num_1|1|2|2|2|2|3|4,num_1|1|2|2|2|2|7,num_1|1|2|2|2|3|3|3,num_1|1|2|2|2|3|6,num_1|1|2|2|2|4|5,num_1|1|2|2|2|9,num_1|1|2|2|3|3|5,num_1|1|2|2|3|4|4,num_1|1|2|2|3|8,num_1|1|2|2|4|7,num_1|1|2|2|5|6,num_1|1|2|2|11,num_1|1|2|3|3|3|4,num_1|1|2|3|3|7,num_1|1|2|3|4|6,num_1|1|2|3|5|5,num_1|1|2|3|10,num_1|1|2|4|4|5,num_1|1|2|4|9,num_1|1|2|5|8,num_1|1|2|6|7,num_1|1|2|13,num_1|1|3|3|3|3|3,num_1|1|3|3|3|6,num_1|1|3|3|4|5,num_1|1|3|3|9,num_1|1|3|4|4|4,num_1|1|3|4|8,num_1|1|3|5|7,num_1|1|3|6|6,num_1|1|3|12,num_1|1|4|4|7,num_1|1|4|5|6,num_1|1|4|11,num_1|1|5|5|5,num_1|1|5|10,num_1|1|6|9,num_1|1|7|8,num_1|1|15,num_1|2|2|2|2|2|2|2|2,num_1|2|2|2|2|2|2|4,num_1|2|2|2|2|2|3|3,num_1|2|2|2|2|2|6,num_1|2|2|2|2|3|5,num_1|2|2|2|2|4|4,num_1|2|2|2|2|8,num_1|2|2|2|3|3|4,num_1|2|2|2|3|7,num_1|2|2|2|4|6,num_1|2|2|2|5|5,num_1|2|2|2|10,num_1|2|2|3|3|3|3,num_1|2|2|3|3|6,num_1|2|2|3|4|5,num_1|2|2|3|9,num_1|2|2|4|4|4,num_1|2|2|4|8,num_1|2|2|5|7,num_1|2|2|6|6,num_1|2|2|12,num_1|2|3|3|3|5,num_1|2|3|3|4|4,num_1|2|3|3|8,num_1|2|3|4|7,num_1|2|3|5|6,num_1|2|3|11,num_1|2|4|4|6,num_1|2|4|5|5,num_1|2|4|10,num_1|2|5|9,num_1|2|6|8,num_1|2|7|7,num_1|2|14,num_1|3|3|3|3|4,num_1|3|3|3|7,num_1|3|3|4|6,num_1|3|3|5|5,num_1|3|3|10,num_1|3|4|4|5,num_1|3|4|9,num_1|3|5|8,num_1|3|6|7,num_1|3|13,num_1|4|4|4|4,num_1|4|4|8,num_1|4|5|7,num_1|4|6|6,num_1|4|12,num_1|5|5|6,num_1|5|11,num_1|6|10,num_1|7|9,num_1|8|8,num_1|16,num_2|2|2|2|2|2|2|3,num_2|2|2|2|2|2|5,num_2|2|2|2|2|3|4,num_2|2|2|2|2|7,num_2|2|2|2|3|3|3,num_2|2|2|2|3|6,num_2|2|2|2|4|5,num_2|2|2|2|9,num_2|2|2|3|3|5,num_2|2|2|3|4|4,num_2|2|2|3|8,num_2|2|2|4|7,num_2|2|2|5|6,num_2|2|2|11,num_2|2|3|3|3|4,num_2|2|3|3|7,num_2|2|3|4|6,num_2|2|3|5|5,num_2|2|3|10,num_2|2|4|4|5,num_2|2|4|9,num_2|2|5|8,num_2|2|6|7,num_2|2|13,num_2|3|3|3|3|3,num_2|3|3|3|6,num_2|3|3|4|5,num_2|3|3|9,num_2|3|4|4|4,num_2|3|4|8,num_2|3|5|7,num_2|3|6|6,num_2|3|12,num_2|4|4|7,num_2|4|5|6,num_2|4|11,num_2|5|5|5,num_2|5|10,num_2|6|9,num_2|7|8,num_2|15,num_3|3|3|3|5,num_3|3|3|4|4,num_3|3|3|8,num_3|3|4|7,num_3|3|5|6,num_3|3|11,num_3|4|4|6,num_3|4|5|5,num_3|4|10,num_3|5|9,num_3|6|8,num_3|7|7,num_3|14,num_4|4|4|5,num_4|4|9,num_4|5|8,num_4|6|7,num_4|13,num_5|5|7,num_5|6|6,num_5|12,num_6|11,num_7|10,num_8|9,num_17
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,136,0,1,3,2,6,4,10,3,7,6,15,5,11,9,21,4,8,7,16,13,12,28,6,12,10,22,9,18,16,36,5,9,8,17,14,13,29,12,24,21,20,45,7,13,11,23,10,19,17,37,16,15,31,27,25,55,6,10,9,18,15,14,30,13,25,22,21,46,12,21,19,39,18,34,31,30,66,8,14,12,24,11,20,18,38,17,16,32,28,26,56,15,27,24,23,48,22,42,38,36,78,7,11,10,19,16,15,31,14,26,23,22,47,13,22,20,40,19,35,32,31,67,19,18,34,30,28,58,27,26,51,46,43,42,91,9,15,13,25,12,21,19,39,18,17,33,29,27,57,16,28,25,24,49,23,43,39,37,79,15,24,22,42,21,37,34,33,69,33,31,61,30,55,51,49,105,8,12,11,20,17,16,32,15,27,24,23,48,14,23,21,41,20,36,33,32,68,20,19,35,31,29,59,28,27,52,47,44,43,92,18,30,27,26,51,25,45,41,39,81,24,40,37,36,72,35,65,60,57,56,120,10,16,14,26,13,22,20,40,19,18,34,30,28,58,17,29,26,25,50,24,44,40,38,80,16,25,23,43,22,38,35,34,70,34,32,62,31,56,52,50,106,22,21,37,33,31,61,30,29,54,49,46,45,94,28,48,44,42,84,41,40,76,70,66,64,136
2,2,136,136,135,133,134,130,132,126,133,129,130,121,131,125,127,115,132,128,129,120,123,124,108,130,124,126,114,127,118,120,100,131,127,128,119,122,123,107,124,112,115,116,91,129,123,125,113,126,117,119,99,120,121,105,109,111,81,130,126,127,118,121,122,106,123,111,114,115,90,124,115,117,97,118,102,105,106,70,128,122,124,112,125,116,118,98,119,120,104,108,110,80,121,109,112,113,88,114,94,98,100,58,129,125,126,117,120,121,105,122,110,113,114,89,123,114,116,96,117,101,104,105,69,117,118,102,106,108,78,109,110,85,90,93,94,45,127,121,123,111,124,115,117,97,118,119,103,107,109,79,120,108,111,112,87,113,93,97,99,57,121,112,114,94,115,99,102,103,67,103,105,75,106,81,85,87,31,128,124,125,116,119,120,104,121,109,112,113,88,122,113,115,95,116,100,103,104,68,116,117,101,105,107,77,108,109,84,89,92,93,44,118,106,109,110,85,111,91,95,97,55,112,96,99,100,64,101,71,76,79,80,16,126,120,122,110,123,114,116,96,117,118,102,106,108,78,119,107,110,111,86,112,92,96,98,56,120,111,113,93,114,98,101,102,66,102,104,74,105,80,84,86,30,114,115,99,103,105,75,106,107,82,87,90,91,42,108,88,92,94,52,95,96,60,66,70,72,0
3,1,680,0,0,1,0,4,1,10,0,4,2,20,1,10,5,35,0,4,2,20,11,8,56,1,10,5,35,3,21,14,84,0,4,2,20,11,8,56,6,36,24,20,120,1,10,5,35,3,21,14,84,12,9,57,39,30,165,0,4,2,20,11,8,56,6,36,24,20,120,4,22,15,85,12,60,45,40,220,1,10,5,35,3,21,14,84,12,9,57,39,30,165,7,37,25,21,121,18,88,66,55,286,0,4,2,20,11,8,56,6,36,24,20,120,4,22,15,85,12,60,45,40,220,13,10,58,40,31,166,28,24,124,94,76,70,364,1,10,5,35,3,21,14,84,12,9,57,39,30,165,7,37,25,21,121,18,88,66,55,286,5,23,16,86,13,61,46,41,221,43,34,169,30,130,104,91,455,0,4,2,20,11,8,56,6,36,24,20,120,4,22,15,85,12,60,45,40,220,13,10,58,40,31,166,28,24,124,94,76,70,364,8,38,26,22,122,19,89,67,56,287,16,64,49,44,224,40,175,140,119,112,560,1,10,5,35,3,21,14,84,12,9,57,39,30,165,7,37,25,21,121,18,88,66,55,286,5,23,16,86,13,61,46,41,221,43,34,169,30,130,104,91,455,14,11,59,41,32,167,29,25,125,95,77,71,365,22,92,70,59,290,55,50,230,185,155,140,680
3,2,680,0,15,42,30,78,57,120,45,93,84,165,72,135,120,210,60,108,99,180,162,156,252,87,150,135,225,126,207,198,288,75,123,114,195,177,171,267,162,252,243,240,315,102,165,150,240,141,222,213,303,204,198,294,288,285,330,90,138,129,210,192,186,282,177,267,258,255,330,168,249,240,330,234,330,330,330,330,117,180,165,255,156,237,228,318,219,213,309,303,300,345,204,294,285,282,357,276,366,372,375,312,105,153,144,225,207,201,297,192,282,273,270,345,183,264,255,345,249,345,345,345,345,246,240,336,330,327,372,321,318,393,408,417,420,273,132,195,180,270,171,252,243,333,234,228,324,318,315,360,219,309,300,297,372,291,381,387,390,327,210,291,282,372,276,372,372,372,372,366,363,408,360,435,453,462,210,120,168,159,240,222,216,312,207,297,288,285,360,198,279,270,360,264,360,360,360,360,261,255,351,345,342,387,336,333,408,423,432,435,288,246,336,327,324,399,318,408,414,417,354,312,408,408,408,408,405,450,480,498,504,120,147,210,195,285,186,267,258,348,249,243,339,333,330,375,234,324,315,312,387,306,396,402,405,342,225,306,297,387,291,387,387,387,387,381,378,423,375,450,468,477,225,288,282,378,372,369,414,363,360,435,450,459,462,315,354,444,450,453,390,450,450,450,495,525,540,0
3,3,680,680,665,637,650,598,622,550,635,583,594,495,607,535,555,435,620,568,579,480,507,516,372,592,520,540,420,551,452,468,308,605,553,564,465,492,501,357,512,392,413,420,245,577,505,525,405,536,437,453,293,464,473,329,353,365,185,590,538,549,450,477,486,342,497,377,398,405,230,508,409,425,265,434,290,305,310,130,562,490,510,390,521,422,438,278,449,458,314,338,350,170,469,349,370,377,202,386,226,242,250,82,575,523,534,435,462,471,327,482,362,383,390,215,493,394,410,250,419,275,290,295,115,421,430,286,310,322,142,331,338,163,178,187,190,43,547,475,495,375,506,407,423,263,434,443,299,323,335,155,454,334,355,362,187,371,211,227,235,67,465,366,382,222,391,247,262,267,87,271,283,103,290,115,123,127,15,560,508,519,420,447,456,312,467,347,368,375,200,478,379,395,235,404,260,275,280,100,406,415,271,295,307,127,316,323,148,163,172,175,28,426,306,327,334,159,343,183,199,207,39,352,208,223,228,48,235,55,60,63,64,0,532,460,480,360,491,392,408,248,419,428,284,308,320,140,439,319,340,347,172,356,196,212,220,52,450,351,367,207,376,232,247,252,72,256,268,88,275,100,108,112,0,378,387,243,267,279,99,288,295,120,135,144,147,0,304,144,160,168,0,175,180,0,0,0,0,0
4,1,2380,0,0,0,0,1,0,5,0,1,0,15,0,5,1,35,0,1,0,15,5,2,70,0,5,1,35,0,15,6,126,0,1,0,15,5,2,70,1,35,16,10,210,0,5,1,35,0,15,6,126,5,2,70,36,20,330,0,1,0,15,5,2,70,1,35,16,10,210,0,15,6,126,3,71,40,30,495,0,5,1,35,0,15,6,126,5,2,70,36,20,330,1,35,16,10,210,7,127,75,50,715,0,1,0,15,5,2,70,1,35,16,10,210,0,15,6,126,3,71,40,30,495,5,2,70,36,20,330,17,11,211,131,85,70,1001,0,5,1,35,0,15,6,126,5,2,70,36,20,330,1,35,16,10,210,7,127,75,50,715,0,15,6,126,3,71,40,30,495,37,21,331,15,215,141,105,1365,0,1,0,15,5,2,70,1,35,16,10,210,0,15,6,126,3,71,40,30,495,5,2,70,36,20,330,17,11,211,131,85,70,1001,1,35,16,10,210,7,127,75,50,715,4,72,41,31,496,25,335,225,161,140,1820,0,5,1,35,0,15,6,126,5,2,70,36,20,330,1,35,16,10,210,7,127,75,50,715,0,15,6,126,3,71,40,30,495,37,21,331,15,215,141,105,1365,5,2,70,36,20,330,17,11,211,131,85,70,1001,8,128,76,51,716,45,35,500,345,245,196,2380
4,2,2380,0,0,14,1,52,17,120,3,58,37,220,21,130,84,350,6,65,43,235,164,140,504,26,141,93,371,69,279,232,672,10,73,50,251,177,152,532,125,427,362,340,840,32,153,103,393,78,297,248,708,217,190,602,528,490,990,15,82,58,268,191,165,561,137,451,383,360,885,110,347,294,794,264,724,680,665,1100,39,166,114,416,88,316,265,745,233,205,633,555,515,1045,175,513,439,414,989,380,940,904,885,1144,21,92,67,286,206,179,591,150,476,405,381,931,122,368,313,833,282,758,711,695,1166,279,249,709,623,579,1169,540,512,1162,1152,1144,1141,1092,47,180,126,440,99,336,283,783,250,221,665,583,541,1101,190,540,463,437,1037,402,982,942,921,1222,160,424,365,925,332,840,787,769,1312,742,692,1372,660,1410,1432,1442,910,28,103,77,305,222,194,622,164,502,428,403,978,135,390,333,873,301,793,743,726,1233,298,267,743,653,607,1227,567,538,1213,1198,1187,1183,1183,234,608,525,497,1147,460,1080,1032,1007,1392,424,980,918,897,1548,860,1660,1735,1778,1792,560,56,195,139,465,111,357,302,822,268,238,698,612,568,1158,206,568,488,461,1086,425,1025,981,958,1301,175,448,387,967,353,877,821,802,1381,775,723,1433,690,1465,1483,1491,1015,350,317,825,727,677,1357,635,604,1329,1304,1287,1281,1379,564,1244,1184,1153,1664,1110,1085,1880,2035,2135,2184,0
4,3,2380,0,105,273,208,468,372,660,309,561,528,825,469,745,705,945,408,652,621,900,873,864,1008,564,828,792,1008,765,1008,1008,1008,505,741,712,973,952,945,1057,924,1092,1113,1120,945,657,909,877,1069,852,1077,1081,1041,1068,1065,1113,1161,1185,825,600,828,801,1044,1029,1024,1104,1005,1149,1176,1185,960,984,1173,1185,1065,1188,1140,1185,1200,660,748,988,960,1128,937,1144,1152,1072,1141,1140,1156,1212,1240,820,1125,1221,1260,1273,948,1284,1044,1108,1140,468,693,913,888,1113,1104,1101,1149,1084,1204,1237,1248,973,1065,1236,1252,1092,1257,1177,1228,1245,633,1245,1248,1200,1272,1308,768,1329,1348,873,948,993,1008,273,837,1065,1041,1185,1020,1209,1221,1101,1212,1213,1197,1261,1293,813,1200,1272,1317,1332,957,1345,1065,1137,1173,417,1185,1320,1344,1104,1353,1209,1272,1293,537,1305,1353,633,1380,705,753,777,105,784,996,973,1180,1177,1176,1192,1161,1257,1296,1309,984,1144,1297,1317,1117,1324,1212,1269,1288,604,1312,1317,1237,1317,1357,757,1380,1401,876,961,1012,1029,196,1308,1332,1389,1408,933,1425,1065,1153,1197,273,1440,1200,1281,1308,336,1345,385,420,441,448,0,924,1140,1120,1240,1101,1272,1288,1128,1281,1284,1236,1308,1344,804,1273,1321,1372,1389,964,1404,1084,1164,1204,364,1260,1377,1405,1125,1416,1240,1309,1332,504,1344,1396,616,1425,700,756,784,0,1404,1413,1269,1365,1413,693,1440,1465,840,945,1008,1029,0,1488,1008,1120,1176,0,1225,1260,0,0,0,0,0
4,4,2380,2380,2275,2093,2171,1859,1991,1595,2068,1760,1815,1320,1890,1500,1590,1050,1966,1662,1716,1230,1338,1374,798,1790,1406,1494,966,1546,1078,1134,574,1865,1565,1618,1141,1246,1281,721,1330,826,889,910,385,1691,1313,1399,883,1450,991,1045,505,1090,1123,595,655,685,235,1765,1469,1521,1053,1155,1189,645,1237,745,805,825,325,1286,845,895,395,925,445,475,485,125,1593,1221,1305,801,1355,905,957,437,1001,1033,521,577,605,185,1079,611,665,683,233,709,269,293,305,53,1666,1374,1425,966,1065,1098,570,1145,665,722,741,266,1193,761,809,329,838,374,401,410,86,851,881,401,449,473,113,494,509,134,149,158,161,14,1496,1130,1212,720,1261,820,870,370,913,944,448,500,526,136,989,533,584,601,176,626,206,226,236,26,1035,621,665,225,692,260,281,288,36,296,314,44,325,50,54,56,0,1568,1280,1330,880,976,1008,496,1054,586,640,658,208,1101,678,724,264,752,304,328,336,48,765,794,330,374,396,66,416,430,80,90,96,98,0,837,405,450,465,90,488,108,120,126,0,512,128,140,144,0,150,0,0,0,0,0,1400,1040,1120,640,1168,736,784,304,826,856,376,424,448,88,900,456,504,520,120,544,144,160,168,0,945,540,582,162,608,192,210,216,0,224,240,0,250,0,0,0,0,621,648,216,252,270,0,288,300,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0
