theta_idx_l,theta_idx_m,den,num_1|1|1|1|1|1|1|1|1|1|1|1|1,num_1|1|1|1|1|1|1|1|1|1|1|2,num_1|1|1|1|1|1|1|1|1|1|3,num_1|1|1|1|1|1|1|1|1|2|2,num_1|1|1|1|1|1|1|1|1|4,num_1|1|1|1|1|1|1|1|2|3,num_1|1|1|1|1|1|1|1|5,num_1|1|1|1|1|1|1|2|2|2,num_1|1|1|1|1|1|1|2|4,num_1|1|1|1|1|1|1|3|3,num_1|1|1|1|1|1|1|6,num_1|1|1|1|1|1|2|2|3,num_1|1|1|1|1|1|2|5,num_1|1|1|1|1|1|3|4,num_1|1|1|1|1|1|7,num_1|1|1|1|1|2|2|2|2,num_1|1|1|1|1|2|2|4,num_1|1|1|1|1|2|3|3,num_1|1|1|1|1|2|6,num_1|1|1|1|1|3|5,num_1|1|1|1|1|4|4,num_1|1|1|1|1|8,num_1|1|1|1|2|2|2|3,num_1|1|1|1|2|2|5,num_1|1|1|1|2|3|4,num_1|1|1|1|2|7,num_1|1|1|1|3|3|3,num_1|1|1|1|3|6,num_1|1|1|1|4|5,num_1|1|1|1|9,num_1|1|1|2|2|2|2|2,num_1|1|1|2|2|2|4,num_1|1|1|2|2|3|3,num_1|1|1|2|2|6,num_1|1|1|2|3|5,num_1|1|1|2|4|4,num_1|1|1|2|8,num_1|1|1|3|3|4,num_1|1|1|3|7,num_1|1|1|4|6,num_1|1|1|5|5,num_1|1|1|10,num_1|1|2|2|2|2|3,num_1|1|2|2|2|5,num_1|1|2|2|3|4,num_1|1|2|2|7,num_1|1|2|3|3|3,num_1|1|2|3|6,num_1|1|2|4|5,num_1|1|2|9,num_1|1|3|3|5,num_1|1|3|4|4,num_1|1|3|8,num_1|1|4|7,num_1|1|5|6,num_1|1|11,num_1|2|2|2|2|2|2,num_1|2|2|2|2|4,num_1|2|2|2|3|3,num_1|2|2|2|6,num_1|2|2|3|5,num_1|2|2|4|4,num_1|2|2|8,num_1|2|3|3|4,num_1|2|3|7,num_1|2|4|6,num_1|2|5|5,num_1|2|10,num_1|3|3|3|3,num_1|3|3|6,num_1|3|4|5,num_1|3|9,num_1|4|4|4,num_1|4|8,num_1|5|7,num_1|6|6,num_1|12,num_2|2|2|2|2|3,num_2|2|2|2|5,num_2|2|2|3|4,num_2|2|2|7,num_2|2|3|3|3,num_2|2|3|6,num_2|2|4|5,num_2|2|9,num_2|3|3|5,num_2|3|4|4,num_2|3|8,num_2|4|7,num_2|5|6,num_2|11,num_3|3|3|4,num_3|3|7,num_3|4|6,num_3|5|5,num_3|10,num_4|4|5,num_4|9,num_5|8,num_6|7,num_13
6,4,1716,0,0,120,36,336,196,560,105,434,385,700,299,650,610,700,204,550,510,750,760,760,560,426,746,730,686,714,750,776,336,330,681,653,791,836,848,476,867,561,606,620,120,574,845,859,645,861,741,784,204,835,864,260,294,310,0,480,824,811,820,909,936,344,982,434,484,500,0,1026,540,590,0,624,0,0,0,0,740,944,994,574,1017,714,780,0,870,920,0,0,0,0,1026,0,0,0,0,0,0,0,0,0
6,5,1716,0,330,630,588,756,784,700,777,805,840,525,875,665,735,315,900,800,845,440,515,540,140,906,588,662,218,711,270,296,36,960,744,796,328,394,416,64,456,84,96,100,0,880,472,544,112,594,144,160,0,180,192,0,0,0,0,960,640,696,192,240,256,0,288,0,0,0,0,324,0,0,0,0,0,0,0,0,800,320,384,0,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,1716,1716,1386,966,1092,588,728,308,833,413,448,133,523,193,223,43,608,268,293,68,83,88,8,350,104,122,14,135,18,20,0,416,152,168,24,30,32,0,36,0,0,0,0,208,40,48,0,54,0,0,0,0,0,0,0,0,0,256,64,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,1716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,1,0,0,0,36,0,0,0,0,0,0,8,0,1,0,0,120,0,0,0,1,0,0,0,36,0,0,8,1,0,330,0,0,0,0,0,0,8,0,1,0,0,120,0,0,0,36,0,8,1,0,792,0,0,0,1,0,0,0,36,0,0,8,1,0,330,0,1,0,0,120,0,36,8,1,1716
7,2,1716,0,0,0,0,0,0,0,0,0,0,7,0,1,1,42,0,0,0,13,8,8,140,0,2,1,63,0,40,36,336,0,0,0,19,9,8,196,2,140,123,120,630,0,3,1,84,0,46,37,462,16,10,378,343,332,924,0,0,0,25,10,8,252,2,161,129,122,882,0,73,45,840,24,812,798,794,924,0,4,1,105,0,52,38,588,17,10,434,364,339,1386,3,238,157,136,1596,80,1680,1708,1715,0
7,3,1716,0,0,0,0,0,0,28,0,7,7,126,1,57,42,315,0,18,13,195,150,140,560,3,96,67,434,48,368,342,756,0,33,21,284,219,202,714,163,672,645,636,756,6,145,97,588,66,512,478,882,429,404,924,931,929,462,0,52,31,393,299,272,924,212,917,901,894,714,150,887,866,840,852,896,917,922,0,10,204,132,777,87,677,628,1092,544,502,1274,1351,1377,0,390,1477,1559,1580,0,1636,0,0,0,0
7,4,1716,0,0,0,0,84,28,280,7,161,126,525,72,400,335,700,28,260,215,650,600,580,700,139,540,476,770,432,780,774,504,70,388,336,780,758,746,658,730,728,754,760,210,236,707,655,812,615,873,891,336,926,938,406,441,455,0,140,552,496,922,952,956,532,968,637,686,700,0,972,756,805,0,840,0,0,0,0,370,908,879,833,846,987,1050,0,1155,1204,0,0,0,0,1323,0,0,0,0,0,0,0,0,0
7,5,1716,0,0,210,84,504,350,700,231,630,595,700,520,750,755,525,420,750,740,650,705,720,280,699,764,805,399,831,465,494,84,630,843,861,549,625,648,140,695,175,194,200,0,866,721,795,231,846,285,310,0,345,364,0,0,0,0,840,888,937,376,455,480,0,534,0,0,0,0,594,0,0,0,0,0,0,0,0,1000,600,704,0,783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6,1716,0,462,756,756,756,854,560,903,707,756,315,840,441,504,126,924,588,637,196,238,252,28,735,294,343,49,378,63,70,0,840,420,462,84,105,112,0,126,0,0,0,0,560,140,168,0,189,0,0,0,0,0,0,0,0,0,672,224,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,1716,1716,1254,750,876,372,484,148,575,211,232,43,283,67,79,7,344,100,111,12,15,16,0,140,20,24,0,27,0,0,0,176,32,36,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,1287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,45,0,0,0,0,0,0,0,9,0,0,1,0,0,165,0,0,0,0,0,0,1,0,0,0,0,45,0,0,0,9,0,1,0,0,495,0,0,0,0,0,0,0,9,0,0,1,0,0,165,0,0,0,0,45,0,9,1,0,1287
8,2,1287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,1,1,40,0,0,0,13,0,9,9,144,0,0,0,2,1,1,68,0,48,45,45,360,0,0,0,20,0,10,9,228,2,1,180,167,165,660,0,0,0,3,1,1,96,0,55,46,45,570,0,18,10,522,3,502,496,495,792,0,0,0,27,0,11,9,312,2,1,208,174,166,1122,0,90,54,47,1242,19,1278,1286,1287,0
8,3,1287,0,0,0,0,0,0,0,0,0,0,21,0,6,6,105,0,1,1,50,40,40,280,0,17,13,182,9,150,144,504,0,3,2,94,71,68,420,51,378,363,360,630,0,33,21,294,12,244,230,672,195,184,672,665,661,462,0,6,3,153,107,98,630,66,595,577,572,672,36,549,530,756,516,784,791,792,0,0,54,30,441,15,353,322,966,252,226,1078,1113,1121,0,144,1197,1233,1240,0,1268,0,0,0,0
8,4,1287,0,0,0,0,0,0,56,0,21,21,210,6,125,105,420,1,60,50,330,290,280,560,21,224,188,546,162,522,508,504,5,123,100,480,439,426,602,399,630,633,632,252,49,363,313,672,276,682,678,378,685,682,434,455,461,0,15,217,177,675,654,644,560,627,637,664,670,0,603,720,747,0,768,0,0,0,0,95,553,489,819,435,923,956,0,1033,1060,0,0,0,0,1143,0,0,0,0,0,0,0,0,0
8,5,1287,0,0,0,0,126,56,350,21,245,210,525,145,475,435,525,80,385,350,575,575,570,350,276,585,569,455,558,495,506,126,190,543,520,565,601,608,196,633,231,246,250,0,454,661,685,301,702,351,370,0,405,420,0,0,0,0,360,712,717,456,525,544,0,594,0,0,0,0,648,0,0,0,0,0,0,0,0,680,680,768,0,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,6,1287,0,0,252,126,504,406,560,315,574,567,420,551,510,540,210,510,589,607,295,336,348,56,642,401,445,91,477,111,120,0,660,522,557,146,175,184,0,204,0,0,0,0,640,230,268,0,297,0,0,0,0,0,0,0,0,0,720,352,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,7,1287,0,462,630,672,504,616,280,693,385,420,105,497,161,189,21,584,236,261,36,45,48,0,324,60,72,0,81,0,0,0,400,96,108,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,1287,1287,825,405,489,153,209,41,258,62,69,6,88,10,12,0,112,16,18,0,0,0,0,24,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,220,0,0,0,0,0,0,0,1,0,0,0,0,0,55,0,0,0,0,10,0,1,0,0,715
9,2,715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,1,1,36,0,0,0,0,0,0,13,0,10,10,10,135,0,0,0,2,0,1,1,72,0,0,57,55,55,330,0,0,0,0,0,0,21,0,11,10,10,255,0,2,1,228,0,221,220,220,495,0,0,0,3,0,1,1,108,0,0,65,56,55,660,0,20,11,10,705,2,714,715,715,0
9,3,715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,5,5,5,80,0,1,1,42,1,36,36,216,0,0,0,16,13,13,156,10,138,135,135,360,0,3,2,90,1,74,72,348,59,57,336,331,330,330,0,0,0,33,22,21,288,12,263,256,255,450,4,236,229,486,223,494,495,495,0,0,6,3,159,1,118,109,606,75,67,650,659,660,0,31,695,704,705,0,713,0,0,0,0
9,4,715,0,0,0,0,0,0,0,0,0,0,35,0,15,15,140,0,5,5,90,80,80,280,1,48,42,238,36,220,216,336,0,19,16,178,159,156,364,141,364,361,360,210,4,109,92,364,78,354,349,294,342,338,322,329,330,0,0,46,35,319,296,290,406,272,441,449,450,0,252,477,485,0,492,0,0,0,0,10,208,170,553,138,596,605,0,640,648,0,0,0,0,684,0,0,0,0,0,0,0,0,0
9,5,715,0,0,0,0,0,0,70,0,35,35,210,15,155,140,315,5,100,90,300,285,280,280,54,261,242,329,228,338,337,126,25,201,184,366,368,366,182,369,203,209,210,0,131,378,371,259,366,286,293,0,314,320,0,0,0,0,75,349,335,363,397,404,0,431,0,0,0,0,459,0,0,0,0,0,0,0,0,265,501,542,0,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,6,715,0,0,0,0,126,70,280,35,231,210,315,170,330,321,210,120,321,310,265,280,282,70,289,320,332,105,342,120,125,0,250,367,374,155,175,180,0,195,0,0,0,0,396,225,250,0,270,0,0,0,0,0,0,0,0,0,400,320,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,7,715,0,0,210,126,336,308,280,273,322,329,140,352,190,209,35,366,249,265,55,65,68,0,311,85,98,0,108,0,0,0,360,128,141,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,8,715,0,330,360,408,216,284,80,339,119,132,15,166,25,30,0,208,40,45,0,0,0,0,60,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,715,715,385,145,181,37,53,5,68,8,9,0,12,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,286
10,2,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,1,1,30,0,0,0,0,0,0,0,13,0,0,11,11,11,110,0,0,0,0,0,0,2,0,1,1,1,75,0,0,0,67,0,66,66,66,220,0,0,0,0,0,0,0,22,0,0,12,11,11,275,0,2,1,1,285,0,286,286,286,0
10,3,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,0,4,4,54,0,0,0,1,1,1,33,1,30,30,30,135,0,0,0,15,0,13,13,117,11,11,111,110,110,165,0,0,0,3,2,2,84,1,76,75,75,210,0,68,67,219,66,220,220,220,0,0,0,0,33,0,23,22,264,13,12,274,275,275,0,3,284,285,285,0,286,0,0,0,0
10,4,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,10,10,10,80,0,4,4,58,4,54,54,144,0,1,1,36,33,33,140,30,136,135,135,120,0,17,15,124,13,118,117,156,112,111,164,165,165,0,0,4,3,93,85,84,200,77,209,210,210,0,70,218,219,0,220,0,0,0,0,0,44,34,253,25,263,264,0,273,274,0,0,0,0,283,0,0,0,0,0,0,0,0,0
10,5,286,0,0,0,0,0,0,0,0,0,0,35,0,20,20,105,0,10,10,85,80,80,140,4,62,58,147,54,145,144,84,1,39,36,145,141,140,112,137,119,120,120,0,19,131,125,147,120,155,156,0,163,164,0,0,0,0,6,102,95,190,199,200,0,208,0,0,0,0,216,0,0,0,0,0,0,0,0,56,242,252,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,6,286,0,0,0,0,0,0,56,0,35,35,126,20,111,105,126,10,90,85,141,141,140,56,66,150,148,77,147,83,84,0,45,150,147,104,111,112,0,118,0,0,0,0,139,138,146,0,153,0,0,0,0,0,0,0,0,0,120,180,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,7,286,0,0,0,0,84,56,140,35,133,126,105,117,125,127,35,100,142,143,50,55,56,0,154,70,76,0,81,0,0,0,160,96,102,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,8,286,0,0,120,84,144,148,80,147,102,107,20,125,30,34,0,144,44,48,0,0,0,0,62,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,9,286,0,165,135,162,54,76,10,96,16,18,0,24,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,286,286,121,31,40,4,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,78
11,2,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,1,1,22,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,12,0,12,12,12,66,0,0,0,0,0,0,0,2,0,0,1,1,1,77,0,0,0,0,78,0,78,78,78,0
11,3,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,3,3,3,30,0,0,0,1,0,1,1,23,1,1,22,22,22,55,0,0,0,0,0,0,14,0,13,13,13,65,0,12,12,66,12,66,66,66,0,0,0,0,3,0,2,2,76,1,1,77,77,77,0,0,78,78,78,0,78,0,0,0,0
11,4,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,6,0,6,6,36,0,0,0,3,3,3,31,3,30,30,30,45,0,1,1,24,1,23,23,54,22,22,55,55,55,0,0,0,0,15,14,14,64,13,65,65,65,0,12,66,66,0,66,0,0,0,0,0,4,3,75,2,76,76,0,77,77,0,0,0,0,78,0,0,0,0,0,0,0,0,0
11,5,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,10,10,10,40,0,6,6,37,6,36,36,36,0,3,3,32,31,31,44,30,45,45,45,0,1,25,24,53,23,54,54,0,55,55,0,0,0,0,0,16,15,63,64,64,0,65,0,0,0,0,66,0,0,0,0,0,0,0,0,5,74,75,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,6,78,0,0,0,0,0,0,0,0,0,0,21,0,15,15,42,0,10,10,41,40,40,28,6,38,37,35,36,36,36,0,3,33,32,43,44,44,0,45,0,0,0,0,26,52,53,0,54,0,0,0,0,0,0,0,0,0,18,62,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
