nV,alpha0V,alpha1V,alphahV
4,6.0,1.77200187265953,inf
6,3.2620873481300805,1.7052506315249047,inf
8,2.611502106023181,1.6735319642775721,23.835460772155052
10,2.3235582433389936,1.6550270894495043,13.52243462812216
12,2.161525146721033,1.6429096249685244,10.558593207660383
14,2.0577164662736322,1.6343616981375817,9.151973114296796
16,1.9855535404003604,1.6280095571764832,8.330775016027019
18,1.9324887766651955,1.6231038906971662,7.792475848371055
