W,X,Y,Z,alpha_0,alpha_1,alpha_hat,n,p_at_alpha_hat,suffix,tau
2,-1,3,0,0.7700479856885067,14.0,inf,8,0.8571428571428571,_0,7
2,-1,3,0,1.134839136417213,4.736102527122057,74.33103196934314,8,0.7171984803961801,_1,6
2,-1,3,0,1.6735319642775721,2.611502106023181,23.835460772155052,8,0.5744982109341321,_2,5
2,-1,3,0,2.611502106023181,1.6735319642775721,23.835460772155052,8,0.4255017890658625,_3,4
2,-1,3,0,4.736102527122057,1.134839136417213,74.33103196934314,8,0.28280151960251587,_4,3
2,-1,3,0,14.0,0.7700479856885067,inf,8,0.14285714285714285,_5,2
