alpha,p_stable,p_unstable
0.0,1.0,0.0
1.77200187265953,1.0,0.0
1.9481684612987162,0.9622100641989714,0.0
2.1243350499379026,0.930495145701863,0.0
2.3005016385770887,0.9034792752300902,0.0
2.4766682272162748,0.8801753647681432,0.0
2.652834815855461,0.8598565041888904,0.0
2.8290014044946474,0.841975268162204,0.0
3.0051679931338335,0.8261113482246507,0.0
3.1813345817730196,0.811936541874693,0.0
3.357501170412206,0.7991907319805317,0.0
3.5336677590513923,0.78766502727898,0.0
3.7098343476905784,0.7771896881189609,0.0
3.886000936329765,0.7676253222846645,0.0
4.062167524968951,0.7588563607729816,0.0
4.238334113608137,0.7507861520494997,0.0
4.414500702247324,0.7433332242103592,0.0
4.590667290886509,0.7364284024122414,0.0
4.766833879525696,0.7300125612281438,0.0
4.9430004681648825,0.7240348541912702,0.0
5.119167056804068,0.7184513061685539,0.0
5.295333645443255,0.7132236844393198,0.0
5.471500234082441,0.7083185860417602,0.0
5.647666822721627,0.7037066944379675,0.0
5.8238334113608135,0.6993621698284053,0.0
6.0,0.6952621458746743,0.0
7.918367346938775,0.6620145709093077,0.03692239223233827
9.83673469387755,0.6413216357712599,0.05962710516322044
11.755102040816325,0.6271724880764443,0.07502087474908417
13.673469387755102,0.6168751773841906,0.0861539782007076
15.591836734693878,0.6090399130784431,0.09458446117773359
17.51020408163265,0.6028752947706549,0.10119209322778462
19.428571428571427,0.5978970163806269,0.10651161030692514
21.346938775510203,0.5937918456332029,0.1108869297714498
23.26530612244898,0.5903481035638273,0.11454938017474561
25.183673469387756,0.5874175366151583,0.11766033342705468
27.10204081632653,0.5848931857392353,0.12033581534995776
29.020408163265305,0.5826959271742234,0.12266140235696912
30.93877551020408,0.5807659603483251,0.12470160369027254
32.857142857142854,0.5790572422971454,0.12650597364576316
34.77551020408163,0.5775337426005338,0.12811321116026123
36.69387755102041,0.5761668595265632,0.12955398006608612
38.61224489795918,0.5749335976906447,0.1308528930422949
40.53061224489796,0.5738152574440973,0.13202993503995467
42.44897959183673,0.5727964757782591,0.13310150276840976
44.36734693877551,0.5718645133544676,0.13408117588141708
46.285714285714285,0.5710087169886477,0.13498029738824496
48.20408163265306,0.5702201091375482,0.13580841615183484
50.12244897959184,0.5694910707208224,0.1365736283120875
52.04081632653061,0.56881509339202,0.1372828435487337
53.95918367346938,0.568186584135764,0.1379419948441374
55.87755102040816,0.5676007097419618,0.1385562052307666
57.795918367346935,0.5670532719554133,0.13912992150106546
59.71428571428571,0.5665406064735425,0.13966702227450323
61.63265306122449,0.5660595006384637,0.14017090595636209
63.55102040816326,0.5656071259089201,0.14064456285438715
65.46938775510205,0.5651809820804506,0.14109063467896402
67.38775510204081,0.5647788509885419,0.14151146391034294
69.30612244897958,0.5643987578054416,0.14190913501681576
71.22448979591836,0.5640389385482067,0.14228550903481244
73.14285714285714,0.5636978126677858,0.1426422527332776
75.06122448979592,0.5633739598047959,0.14298086332517365
76.97959183673468,0.5630660999771189,0.1433026894973604
78.89795918367346,0.5627730766681761,0.14360894939428312
80.81632653061224,0.5624938422750347,0.14390074602840452
82.73469387755102,0.5622274455840792,0.14417908058304074
84.65306122448979,0.561973020924999,0.14444486390348904
86.57142857142857,0.5617297787751161,0.14469892644808288
88.48979591836735,0.5614969975545436,0.14494202698536054
90.40816326530611,0.5612740164690774,0.14517486015618733
92.3265306122449,0.56106022925531,0.1453980631094095
94.24489795918367,0.5608550786460579,0.14561222133957977
96.16326530612244,0.560658051534284,0.14581787380679087
98.08163265306122,0.5604686746778631,0.1460155174841355
100.0,0.560286510896687,0.1462056113497696
inf,0.5509012148879007,0.15597037125402421
