suffix,n,tau,W,X,Y,Z,alpha_0,alpha_1,alpha_hat,p_at_alpha_hat
_5,8,5,2.0,-1.0,3,0,1.6735319642775721,2.611502106023181,23.835460772155052,0.5744982109341372
_7,8,4,2.0,-0.5,3,0,4.196759059594115,1.6735319642775721,inf,0.38461538461538464
