alpha,p_stable,p_unstable
0.0,1.0,0.0
1.6735319642775721,1.0,0.0
1.7126140535169725,0.9893183474397337,0.0
1.7516961427563729,0.9790846139615749,0.0
1.7907782319957732,0.9692700541746847,0.0
1.8298603212351736,0.9598483592232938,0.0
1.868942410474574,0.9507954028226148,0.0
1.9080244997139744,0.9420890184555588,0.0
1.9471065889533747,0.9337088033779893,0.0
1.9861886781927751,0.9256359457290261,0.0
2.0252707674321755,0.9178530716343695,0.0
2.064352856671576,0.9103441096337077,0.0
2.1034349459109762,0.9030941702167967,0.0
2.1425170351503766,0.8960894385140548,0.0
2.181599124389777,0.8893170784863837,0.0
2.2206812136291774,0.8827651472306349,0.0
2.2597633028685777,0.8764225181425281,0.0
2.298845392107978,0.870278811915017,0.0
2.3379274813473785,0.8643243344190492,0.0
2.377009570586779,0.8585500207205954,0.0
2.4160916598261792,0.8529473845003492,0.0
2.4551737490655796,0.847508472292986,0.0
2.49425583830498,0.842225822023482,0.0
2.5333379275443804,0.8370924253514275,0.0
2.5724200167837807,0.8321016934722139,0.0
2.611502106023181,0.827247425925746,0.0
3.044644119617709,0.7810973475525438,0.05011321126581469
3.477786133212237,0.7454389672454182,0.08870569363086551
3.910928146806765,0.7169017042102499,0.11950235745643743
4.344070160401293,0.6934346494673562,0.14476284351100607
4.777212173995821,0.6737147095153324,0.16594099457120848
5.210354187590349,0.656848008285566,0.1840166956055883
5.6434962011848775,0.6422076548396067,0.1996757174115325
6.076638214779405,0.629340206213724,0.2134131665764602
6.509780228373932,0.617909043883874,0.22559597549982902
6.942922241968461,0.6076586710315255,0.23650222681978167
7.376064255562989,0.5983914089113688,0.24634677498160082
7.809206269157517,0.5899517272432427,0.25529844635264837
8.242348282752044,0.5822154318636498,0.26349188990894795
8.675490296346574,0.5750820326724159,0.27103593076409144
9.1086323099411,0.5684692470101879,0.27801957882853434
9.541774323535629,0.5623089692083683,0.2845164295069996
9.974916337130157,0.5565442670042035,0.2905879396213032
10.408058350724684,0.5511271100859125,0.29628590221287054
10.841200364319212,0.5460166290046875,0.3016543416145871
11.27434237791374,0.5411777638398734,0.3067309827895224
11.707484391508268,0.5365802030430405,0.31154840403694806
12.140626405102797,0.532197540742307,0.3161349514204346
12.573768418697325,0.5280066001668182,0.32051547208738834
13.006910432291853,0.5239868844739778,0.3247119087579948
13.44005244588638,0.5201201258300739,0.32874378711680163
13.873194459480908,0.5163899105567739,0.33262862023968587
14.306336473075437,0.5127813631050917,0.33638224879893724
14.739478486669965,0.5092808752048933,0.3400191317737792
15.172620500264493,0.5058758690188431,0.34355259975900887
15.60576251385902,0.5025545848664924,0.3469950809087519
16.038904527453546,0.49930588505606577,0.3503583085801989
16.472046541048076,0.49611906571888864,0.3536535191230114
16.905188554642606,0.49298366823626477,0.356891648613017
17.338330568237133,0.4898892806259516,0.36008353836904466
17.77147258183166,0.48682531699190457,0.3632401614106034
18.204614595426186,0.48378075906544366,0.3663728859768858
18.637756609020716,0.4807438370379385,0.3694937990355248
19.070898622615243,0.47770161536079814,0.3726161242263724
19.504040636209773,0.4746394292268817,0.37575478862952255
19.9371826498043,0.47154008170411393,0.3789272284737843
20.37032466339883,0.46838264440908667,0.3821545908914507
20.803466676993356,0.46514057146441606,0.38546362213267527
21.236608690587882,0.46177855192895445,0.3888898170197332
21.669750704182412,0.4582468609474149,0.39248306944795985
22.10289271777694,0.454470219354124,0.3963188142632403
22.53603473137147,0.45032275173871333,0.400523070465103
22.969176744965996,0.4455592624003838,0.40534116642000156
23.402318758560526,0.4395443142569705,0.41140866195766024
23.835460772155052,0.42568213991392834,0.4253214382187736
