suffix,n,tau,W,X,Y,Z,alpha_0,alpha_1,alpha_hat,p_at_alpha_hat
_0,10,5,2,-1,3,0,2.3235582433389936,1.6550270894495043,13.52243462812216,0.44018256808799827
_1,8,4,2,-1,3,0,2.611502106023181,1.6735319642775721,23.835460772155052,0.4255017890658625
_2,6,3,2,-1,3,0,3.2620873481300805,1.7052506315249047,inf,0.4
_3,4,2,2,-1,3,0,6.0,1.77200187265953,inf,0.3333333333333333
